#Frequency,Eps1ab,Eps2ab,Eps1c,Eps2c
100.281,-9835.703083,1774.428866,5,0.1
100.924,-9742.215393,1707.951022,5,0.1
101.567,-9650.147866,1638.277325,5,0.1
102.21,-9559.4737,1575.472076,5,0.1
102.852,-9480.766643,1516.922711,5,0.1
103.495,-9458.058454,1472.771131,5,0.1
104.138,-9429.346212,1260.74659,5,0.1
104.781,-9284.319629,1083.843119,5,0.1
105.424,-9108.200576,928.3076366,5,0.1
106.067,-8882.138258,782.962204,5,0.1
106.709,-8601.602042,709.6063552,5,0.1
107.352,-8332.173843,749.8145013,5,0.1
107.995,-8149.348869,864.0432808,5,0.1
108.638,-8070.048728,966.7506544,5,0.1
109.281,-8049.700887,1000.307689,5,0.1
109.924,-8025.057556,962.3392726,5,0.1
110.566,-7964.118158,896.5285507,5,0.1
111.209,-7877.03233,831.6375666,5,0.1
111.852,-7776.454307,766.6337847,5,0.1
112.495,-7661.868226,701.8607242,5,0.1
113.138,-7524.2258,636.5290255,5,0.1
113.781,-7339.327382,590.8060658,5,0.1
114.423,-7200.174894,676.5069203,5,0.1
115.066,-7134.783227,667.2789329,5,0.1
115.709,-7041.163643,654.1424,5,0.1
116.352,-6944.192519,640.6350273,5,0.1
116.995,-6845.002831,626.9117564,5,0.1
117.637,-6742.718538,612.8690509,5,0.1
118.28,-6633.82336,598.0397001,5,0.1
118.923,-6496.620902,579.518495,5,0.1
119.566,-6338.095965,625.2121456,5,0.1
120.209,-6253.491196,754.6786024,5,0.1
120.852,-6250.668805,800.0917871,5,0.1
121.494,-6229.741403,796.0517263,5,0.1
122.137,-6185.48508,787.5200935,5,0.1
122.78,-6133.819121,777.6156596,5,0.1
123.423,-6077.243033,766.8122972,5,0.1
124.066,-6015.494397,755.085267,5,0.1
124.709,-5929.491386,738.8475869,5,0.1
125.351,-5881.682534,811.6631406,5,0.1
125.994,-5868.911599,753.0472739,5,0.1
126.637,-5779.177923,733.4543356,5,0.1
127.28,-5700.068487,758.4536788,5,0.1
127.923,-5658.035617,789.8149436,5,0.1
128.566,-5628.658834,785.8181236,5,0.1
129.208,-5574.245761,774.3577602,5,0.1
129.851,-5506.410344,796.3615111,5,0.1
130.494,-5477.570561,864.384828,5,0.1
131.137,-5524.74257,910.3135268,5,0.1
131.78,-5607.129248,862.4421433,5,0.1
132.423,-5630.634386,718.2876323,5,0.1
133.065,-5549.362154,577.2723177,5,0.1
133.708,-5412.56355,503.1287541,5,0.1
134.351,-5282.30311,494.799362,5,0.1
134.994,-5183.928361,513.3601684,5,0.1
135.637,-5115.347976,540.580558,5,0.1
136.279,-5072.696913,559.7367993,5,0.1
136.922,-5044.090554,556.8188009,5,0.1
137.565,-5000.781059,522.450629,5,0.1
138.208,-4926.204691,498.3810765,5,0.1
138.851,-4847.04354,507.0781553,5,0.1
139.494,-4793.921098,536.1703154,5,0.1
140.136,-4767.626935,546.9617108,5,0.1
140.779,-4738.468142,530.2015024,5,0.1
141.422,-4688.898631,508.6773437,5,0.1
142.065,-4630.733458,502.4318429,5,0.1
142.708,-4575.743036,499.8188279,5,0.1
143.351,-4522.418691,500.4375901,5,0.1
143.993,-4465.51527,497.0972096,5,0.1
144.636,-4398.459405,503.8788282,5,0.1
145.279,-4328.814825,530.0371793,5,0.1
145.922,-4274.761279,585.2364929,5,0.1
146.565,-4256.617437,649.6480799,5,0.1
147.208,-4274.565332,697.9327014,5,0.1
147.85,-4305.909207,705.7083693,5,0.1
148.493,-4321.264481,691.5372479,5,0.1
149.136,-4326.784785,685.379203,5,0.1
149.779,-4352.822197,685.5957119,5,0.1
150.422,-4409.212201,649.9384033,5,0.1
151.065,-4452.085639,540.7136582,5,0.1
151.707,-4419.745026,393.3303062,5,0.1
152.35,-4310.837569,281.2947,5,0.1
152.993,-4179.181034,238.5033536,5,0.1
153.636,-4070.94142,242.3878683,5,0.1
154.279,-3994.076449,254.6508546,5,0.1
154.921,-3927.990202,254.5687383,5,0.1
155.564,-3855.380811,254.7913444,5,0.1
156.207,-3773.940554,264.3281327,5,0.1
156.85,-3692.398599,300.1364856,5,0.1
157.493,-3631.377087,361.8183781,5,0.1
158.136,-3606.940678,433.791525,5,0.1
158.778,-3621.420612,489.4592702,5,0.1
159.421,-3657.360411,504.8700068,5,0.1
160.064,-3681.296788,475.0687597,5,0.1
160.707,-3670.606106,429.3399368,5,0.1
161.35,-3629.304465,390.6142022,5,0.1
161.993,-3572.74888,374.9162992,5,0.1
162.635,-3518.112998,379.1512224,5,0.1
163.278,-3470.464162,394.5403914,5,0.1
163.921,-3432.463439,422.247812,5,0.1
164.564,-3412.305418,457.7545134,5,0.1
165.207,-3413.481502,488.1148334,5,0.1
165.85,-3432.145045,502.6655044,5,0.1
166.492,-3454.100302,487.3876068,5,0.1
167.135,-3458.590244,452.3798514,5,0.1
167.778,-3442.114366,417.7871505,5,0.1
168.421,-3417.996227,395.8682379,5,0.1
169.064,-3400.944175,378.612137,5,0.1
169.707,-3385.808006,346.7728065,5,0.1
170.349,-3356.788485,306.555525,5,0.1
170.992,-3309.588921,269.0997984,5,0.1
171.635,-3250.369837,246.852978,5,0.1
172.278,-3190.209197,240.018378,5,0.1
172.921,-3130.773744,241.3241255,5,0.1
173.563,-3073.135142,258.0288544,5,0.1
174.206,-3027.219186,289.5880753,5,0.1
174.849,-3000.949802,327.0570686,5,0.1
175.492,-2993.296761,356.1429472,5,0.1
176.135,-2993.01155,368.7747223,5,0.1
176.778,-2989.647846,370.6837571,5,0.1
177.42,-2981.320206,368.2865721,5,0.1
178.063,-2970.297911,365.3954572,5,0.1
178.706,-2958.091651,360.6403029,5,0.1
179.349,-2945.058979,355.7719438,5,0.1
179.992,-2929.981181,347.2956862,5,0.1
180.635,-2911.002086,341.4823992,5,0.1
181.277,-2893.044684,339.9153137,5,0.1
181.92,-2879.858432,339.1726366,5,0.1
182.563,-2870.612977,333.5710382,5,0.1
183.206,-2859.669248,320.6339211,5,0.1
183.849,-2843.011793,305.3657014,5,0.1
184.492,-2820.485561,290.2123703,5,0.1
185.134,-2794.404555,280.1281123,5,0.1
185.777,-2767.108874,272.2968725,5,0.1
186.42,-2739.325128,269.6599996,5,0.1
187.063,-2713.362913,270.1610791,5,0.1
187.706,-2690.67811,274.6235154,5,0.1
188.349,-2673.235891,279.7398999,5,0.1
188.991,-2660.904701,283.4292481,5,0.1
189.634,-2653.477789,282.9409232,5,0.1
190.277,-2646.852077,272.8013905,5,0.1
190.92,-2633.902667,255.5775016,5,0.1
191.563,-2610.975961,236.5736171,5,0.1
192.205,-2579.038315,223.5608157,5,0.1
