#Frequency,Eps1,Eps2,Eps1,Eps2
100.281,-7013.096423,1916.735709,5,0.1
100.924,-6958.354578,2052.611005,5,0.1
101.567,-6986.535098,2141.802881,5,0.1
102.21,-7054.071529,2163.551353,5,0.1
102.852,-7095.08868,2073.392151,5,0.1
103.495,-7058.891568,2018.786822,5,0.1
104.138,-7030.233111,1964.919236,5,0.1
104.781,-7010.292466,1925.734561,5,0.1
105.424,-6991.961924,1824.072651,5,0.1
106.067,-6939.606285,1760.398373,5,0.1
106.709,-6895.092019,1649.742639,5,0.1
107.352,-6799.311476,1549.266517,5,0.1
107.995,-6690.38316,1487.264373,5,0.1
108.638,-6596.561162,1437.817903,5,0.1
109.281,-6512.688963,1384.079925,5,0.1
109.924,-6425.810653,1313.912503,5,0.1
110.566,-6300.358399,1220.939439,5,0.1
111.209,-6140.719771,1192.267958,5,0.1
111.852,-5988.87498,1175.102183,5,0.1
112.495,-5839.993592,1213.047737,5,0.1
113.138,-5721.249627,1263.123479,5,0.1
113.781,-5642.580487,1358.838121,5,0.1
114.423,-5617.789714,1401.714321,5,0.1
115.066,-5588.113314,1440.0086,5,0.1
115.709,-5580.041688,1474.815757,5,0.1
116.352,-5595.125975,1480.975043,5,0.1
116.995,-5612.764404,1452.189728,5,0.1
117.637,-5614.435583,1390.948411,5,0.1
118.28,-5585.989906,1314.680218,5,0.1
118.923,-5531.648693,1244.936834,5,0.1
119.566,-5465.739624,1184.520511,5,0.1
120.209,-5391.045604,1125.25999,5,0.1
120.852,-5299.658392,1069.024734,5,0.1
121.494,-5187.882805,1028.772357,5,0.1
122.137,-5068.146274,1024.024867,5,0.1
122.78,-4984.139582,1059.51943,5,0.1
123.423,-4892.008506,1007.371513,5,0.1
124.066,-4738.79507,1073.978199,5,0.1
124.709,-4663.211906,1195.852517,5,0.1
125.351,-4671.573807,1307.419787,5,0.1
125.994,-4733.839001,1357.351235,5,0.1
126.637,-4791.911226,1334.893813,5,0.1
127.28,-4805.860931,1285.13325,5,0.1
127.923,-4795.029165,1254.046423,5,0.1
128.566,-4799.857161,1229.500453,5,0.1
129.208,-4817.592652,1166.685395,5,0.1
129.851,-4798.263205,1057.999106,5,0.1
130.494,-4709.417648,959.3422393,5,0.1
131.137,-4589.393613,932.4186948,5,0.1
131.78,-4508.006445,963.3618616,5,0.1
132.423,-4484.226105,980.3116335,5,0.1
133.065,-4469.846315,946.0270301,5,0.1
133.708,-4417.04282,895.4589855,5,0.1
134.351,-4342.547206,881.842061,5,0.1
134.994,-4290.279327,888.6097682,5,0.1
135.637,-4257.399885,875.2163905,5,0.1
136.279,-4205.493905,838.2746532,5,0.1
136.922,-4123.217149,827.7296964,5,0.1
137.565,-4054.462886,864.3991093,5,0.1
138.208,-4032.914792,905.2584125,5,0.1
138.851,-4042.363012,909.9308336,5,0.1
139.494,-4039.788476,866.654011,5,0.1
140.136,-3990.633677,812.096323,5,0.1
140.779,-3909.101734,794.8885535,5,0.1
141.422,-3836.742869,819.1847543,5,0.1
142.065,-3800.443083,864.1222486,5,0.1
142.708,-3801.32215,890.4708421,5,0.1
143.351,-3812.639271,882.7447512,5,0.1
143.993,-3807.690728,847.1605576,5,0.1
144.636,-3775.88484,809.5744223,5,0.1
145.279,-3727.66794,785.1204132,5,0.1
145.922,-3676.506089,778.4637393,5,0.1
146.565,-3632.781913,784.7492196,5,0.1
147.208,-3604.93464,800.5728623,5,0.1
147.85,-3596.416008,804.8246221,5,0.1
148.493,-3589.074972,784.5312148,5,0.1
149.136,-3560.310697,750.4829806,5,0.1
149.779,-3508.154233,732.6214813,5,0.1
150.422,-3458.982289,747.052562,5,0.1
151.065,-3440.344105,774.2582067,5,0.1
151.707,-3450.817483,777.8681191,5,0.1
152.35,-3457.412244,740.9563136,5,0.1
152.993,-3428.651028,688.8766924,5,0.1
153.636,-3370.273142,658.3754873,5,0.1
154.279,-3309.747154,656.9158047,5,0.1
154.921,-3263.464277,671.3043894,5,0.1
155.564,-3232.915525,689.8423863,5,0.1
156.207,-3215.5985,706.2405649,5,0.1
156.85,-3209.811634,716.3336262,5,0.1
157.493,-3211.166767,711.773546,5,0.1
158.136,-3208.042013,690.7153586,5,0.1
158.778,-3191.046922,662.4580662,5,0.1
159.421,-3162.350382,639.8364495,5,0.1
160.064,-3130.227079,623.2970547,5,0.1
160.707,-3096.107972,610.1777673,5,0.1
161.35,-3060.3295,604.0472611,5,0.1
161.993,-3028.719396,606.3048853,5,0.1
162.635,-3008.283244,611.7270367,5,0.1
163.278,-2997.204704,605.6186918,5,0.1
163.921,-2979.76649,583.5077308,5,0.1
164.564,-2944.090592,560.8325564,5,0.1
165.207,-2897.131624,554.8337096,5,0.1
165.85,-2855.13809,567.3662793,5,0.1
166.492,-2829.447179,589.0700409,5,0.1
167.135,-2819.915839,604.0724321,5,0.1
167.778,-2816.76668,607.1467742,5,0.1
168.421,-2809.791402,597.4956631,5,0.1
169.064,-2792.971406,587.1934765,5,0.1
169.707,-2771.718447,582.7786762,5,0.1
170.349,-2754.709493,586.8244394,5,0.1
170.992,-2748.044364,588.6066499,5,0.1
171.635,-2746.351156,580.1642304,5,0.1
172.278,-2739.435886,559.9318218,5,0.1
172.921,-2721.033942,538.7908607,5,0.1
173.563,-2696.124671,524.4791533,5,0.1
174.206,-2672.486563,517.4905936,5,0.1
174.849,-2653.819481,511.2573853,5,0.1
175.492,-2638.221268,502.3054222,5,0.1
176.135,-2620.620053,486.3966168,5,0.1
176.778,-2594.587859,469.8597227,5,0.1
177.42,-2562.44402,461.0392747,5,0.1
178.063,-2532.092442,462.3181163,5,0.1
178.706,-2510.42596,468.4661761,5,0.1
179.349,-2497.274164,470.1076032,5,0.1
179.992,-2484.783418,462.537196,5,0.1
180.635,-2464.96262,451.0286632,5,0.1
181.277,-2438.966421,445.7548476,5,0.1
181.92,-2414.53982,447.8989096,5,0.1
182.563,-2396.918817,453.6652945,5,0.1
