T[K]	Re[\chi]	Im[\chi]
 290.25900	  12.87772	  -0.48601
 290.25100	  12.87225	  -0.46860
 290.23700	  12.87767	  -0.47786
 290.21900	  12.87775	  -0.47931
 290.20100	  12.87591	  -0.46865
 290.18200	  12.87445	  -0.48720
 290.16200	  12.87206	  -0.49199
 290.14000	  12.87575	  -0.47677
 290.11700	  12.87822	  -0.47807
 290.09300	  12.88031	  -0.46201
 290.06700	  12.87222	  -0.47441
 290.04000	  12.86701	  -0.47059
 290.01200	  12.87789	  -0.47077
 289.98200	  12.88127	  -0.47210
 289.95100	  12.88817	  -0.47635
 289.91900	  12.88239	  -0.48159
 289.88600	  12.87686	  -0.46620
 289.85100	  12.88241	  -0.47652
 289.81500	  12.88748	  -0.45978
 289.77700	  12.87992	  -0.47206
 289.73700	  12.88384	  -0.47473
 289.69600	  12.88509	  -0.47650
 289.65400	  12.87602	  -0.47115
 289.61100	  12.87680	  -0.48606
 289.56500	  12.87939	  -0.47912
 289.51800	  12.89076	  -0.46981
 289.47000	  12.88275	  -0.46918
 289.42100	  12.88605	  -0.47887
 289.36900	  12.87839	  -0.47878
 289.31600	  12.88517	  -0.48361
 289.26100	  12.88997	  -0.47879
 289.20500	  12.88776	  -0.47304
 289.14800	  12.88303	  -0.47655
 289.08900	  12.87564	  -0.47129
 289.02800	  12.87656	  -0.47218
 288.96600	  12.88001	  -0.46902
 288.90200	  12.88547	  -0.47559
 288.83600	  12.88621	  -0.47658
 288.76900	  12.87951	  -0.48189
 288.70000	  12.88510	  -0.47579
 288.62900	  12.88566	  -0.47129
 288.55700	  12.87771	  -0.47557
 288.48200	  12.86716	  -0.47585
 288.40600	  12.88371	  -0.46863
 288.32900	  12.88400	  -0.47073
 288.24900	  12.90018	  -0.48267
 288.16800	  12.89241	  -0.47761
 288.08400	  12.89503	  -0.47186
 288.00000	  12.89806	  -0.47776
 287.91300	  12.88419	  -0.48340
 287.82500	  12.87892	  -0.47667
 287.73400	  12.89163	  -0.47490
 287.64200	  12.88651	  -0.46920
 287.54700	  12.88998	  -0.46606
 287.45200	  12.89214	  -0.47633
