W E1
0 0
32.0513 -20792.3
64.1026 -6876.71
96.1538 -4150.1
128.205 -3054.03
160.256 -2429.71
192.308 -2001.44
224.359 -1678.53
256.41 -1423.3
288.462 -1216.52
320.513 -1046.58
352.564 -905.533
384.615 -787.545
416.667 -688.166
448.718 -603.925
480.769 -532.08
512.821 -470.447
544.872 -417.278
576.923 -371.164
608.974 -330.962
641.026 -295.744
673.077 -264.748
705.128 -237.347
737.179 -213.024
769.231 -191.346
801.282 -171.954
833.333 -154.545
865.385 -138.864
897.436 -124.694
929.487 -111.851
961.538 -100.178
993.59 -89.5379
1025.64 -79.8156
1057.69 -70.9097
1089.74 -62.7328
1121.79 -55.2084
1153.85 -48.2698
1185.9 -41.8586
1217.95 -35.9231
1250 -30.418
1282.05 -25.3031
1314.1 -20.5427
1346.15 -16.1052
1378.21 -11.9622
1410.26 -8.08856
1442.31 -4.4615
1474.36 -1.06075
1506.41 2.13199
1538.46 5.13324
1570.51 7.95788
1602.56 10.6194
1634.62 13.1301
1666.67 15.501
1698.72 17.7423
1730.77 19.8632
1762.82 21.8721
1794.87 23.7767
1826.92 25.5842
1858.97 27.3008
1891.03 28.9327
1923.08 30.4852
1955.13 31.9634
1987.18 33.372
2019.23 34.7152
2051.28 35.997
2083.33 37.2211
2115.38 38.3909
2147.44 39.5095
2179.49 40.5798
2211.54 41.6046
2243.59 42.5865
2275.64 43.5277
2307.69 44.4305
2339.74 45.297
2371.79 46.129
2403.85 46.9284
2435.9 47.6968
2467.95 48.4358
2500 49.1469
2532.05 49.8315
2564.1 50.4909
2596.15 51.1262
2628.21 51.7387
2660.26 52.3294
2692.31 52.8993
2724.36 53.4495
2756.41 53.9807
2788.46 54.4939
2820.51 54.9899
2852.56 55.4694
2884.62 55.9331
2916.67 56.3818
2948.72 56.816
2980.77 57.2364
3012.82 57.6436
3044.87 58.0381
3076.92 58.4204
3108.97 58.791
3141.03 59.1505
3173.08 59.4991
3205.13 59.8375
3237.18 60.1659
3269.23 60.4848
3301.28 60.7944
3333.33 61.0953
3365.38 61.3876
3397.44 61.6718
3429.49 61.9481
3461.54 62.2168
3493.59 62.4782
3525.64 62.7325
3557.69 62.98
3589.74 63.221
3621.79 63.4556
3653.85 63.6841
3685.9 63.9067
3717.95 64.1236
3750 64.335
3782.05 64.5411
3814.1 64.742
3846.15 64.938
3878.21 65.1291
3910.26 65.3156
3942.31 65.4975
3974.36 65.6751
4006.41 65.8485
4038.46 66.0178
4070.51 66.1831
4102.56 66.3446
4134.62 66.5023
4166.67 66.6565
4198.72 66.8071
4230.77 66.9543
4262.82 67.0983
4294.87 67.239
4326.92 67.3767
4358.97 67.5113
4391.03 67.643
4423.08 67.7719
