k,e1,e2
50.14,-25198.2979,3836.9153703294774
50.62,-24659.033,3761.550966226788
51.1,-25245.9232,4867.517124386693
51.59,-30742.0914,14465.338505439038
52.07,-31876.6413,21888.918248288843
52.55,-32671.1938,21950.95536907327
53.03,-36812.9226,21114.421825977744
53.51,-25704.215,2219.3048059181465
54.0,-25997.7569,1987.64413992
54.48,-38393.7661,15585.068518597653
54.96,-32224.5601,9445.034340195778
55.44,-27899.1821,5707.9362204170275
55.93,-21233.3911,1032.7018827701054
56.41,-20309.5165,1065.1111118617266
56.89,-20254.451,1808.577636833187
57.37,-19980.3115,2423.779898482134
57.85,-20122.0595,3427.0548723408815
58.34,-20963.269,5382.065402677407
58.82,-21966.2207,8082.832290359742
59.3,-22107.7611,9479.145224575379
59.78,-21532.1794,8884.2020473998
60.26,-21482.6646,9157.755666451378
60.75,-22072.9067,10841.657510301235
61.23,-22464.2344,11761.881814319777
61.71,-21706.9806,9189.081838262195
62.19,-20652.1562,6903.873677552019
62.68,-20386.7605,6690.009988345247
63.16,-20894.5787,8419.932327447752
63.64,-20778.4972,9323.183588319296
64.12,-19754.273,7747.572405941983
64.6,-19024.6941,6663.659896157276
65.09,-18714.1482,6504.369330831157
65.57,-18497.2955,6787.1889589891725
66.05,-18010.9819,6761.48468601726
66.53,-17451.7667,6581.12956380941
67.01,-17353.8245,7371.844168807639
67.5,-17833.3442,10101.473591733335
67.98,-18055.9227,13731.74399534569
68.46,-18134.8083,13491.822150920247
68.94,-17377.354,8658.972440654483
69.42,-16729.3297,7369.692454076058
69.91,-16493.2947,7982.187891700186
70.39,-16273.093,8630.38203952266
70.87,-16020.2138,8001.961470038097
71.35,-15860.2946,6973.4895358531185
71.84,-15879.885,6601.49109003118
72.32,-15914.9895,6648.083697703541
72.8,-15693.1744,6272.647145258792
73.28,-15332.3774,5591.148061423035
73.76,-15101.8929,5250.743918562364
74.25,-15043.9511,5457.386775228552
74.73,-14931.0408,5733.239570688612
75.21,-14689.5461,5632.024142323096
75.69,-14452.6107,5358.656479172942
76.17,-14419.2174,5480.510229397925
76.66,-14488.0258,6032.222715142187
77.14,-14483.5626,6719.19699686492
77.62,-14290.3696,7021.888387800567
78.1,-14048.0508,7027.655610722152
78.59,-13854.4553,6986.795029079017
79.07,-13728.6568,6946.951389169092
79.55,-13575.5403,6656.262291769705
80.03,-13376.9397,6238.209239645633
80.51,-13247.284,6123.293320895291
81.0,-13148.4768,6278.49457501679
81.48,-13017.0854,6396.748575788414
81.96,-12804.5196,6182.190540532456
82.44,-12635.3016,5939.206897515769
82.92,-12563.5042,5893.538263668113
83.41,-12518.8842,5941.405070702314
83.89,-12408.2672,5786.092841806651
84.37,-12153.9247,5232.415825960887
84.85,-11848.7279,4623.878667869888
85.33,-11705.1553,4364.137784022971
85.82,-11716.1229,4380.322986415288
86.3,-11742.2946,4418.867273175435
86.78,-11716.502,4457.641636224475
87.26,-11604.3597,4579.078993880357
87.75,-11411.7713,4802.530966550427
88.23,-11223.6573,4996.600950561034
88.71,-11063.9141,4898.849681385189
89.19,-10946.8553,4603.609040000896
89.67,-10891.7315,4447.580178295974
90.16,-10789.1296,4446.983676353594
90.64,-10626.4584,4527.590932466461
91.12,-10411.8042,4533.715986153643
91.6,-10219.2302,4466.927801681223
92.08,-10138.6432,4445.238770732407
92.57,-10123.9672,4387.125228928163
93.05,-10091.347,4196.276256433316
93.53,-10029.694,3957.3144001411315
94.01,-9925.78868,3755.708933470482
94.49,-9848.59594,3700.5103474390944
94.98,-9768.45529,3704.1712051964623
95.46,-9638.65547,3647.653498746281
95.94,-9498.05393,3559.9205666487387
96.42,-9350.34542,3467.052709375233
96.91,-9264.17141,3439.8152501005056
97.39,-9227.92177,3420.5675803753975
97.87,-9193.56368,3361.5759445819967
98.35,-9166.98124,3331.1630633028976
98.83,-9104.65314,3334.589737223515
99.32,-9030.35434,3368.998193167137
99.8,-8900.5798,3318.88214567976
100.28,-8751.01975,3190.7333354451534
100.76,-8593.56442,3044.7340433136164
101.24,-8443.32568,2934.621830477677
101.73,-8337.84663,2884.19066370117
102.21,-8244.61042,2834.4790866666667
102.69,-8176.2264,2802.793864321745
103.17,-8100.14028,2789.491268370263
103.66,-8038.97909,2813.384739112483
104.14,-7965.23512,2807.0553815252542
104.62,-7901.68689,2757.8875316042822
105.1,-7829.13665,2687.616280691151
105.58,-7778.1508,2689.198534815306
106.07,-7732.05868,2767.395538687659
106.55,-7671.746,2848.0626948069453
107.03,-7609.48998,2867.1555176888724
107.51,-7523.28045,2802.9972982747654
107.99,-7442.95745,2732.0420636325584
108.48,-7357.26351,2693.9013676666664
108.96,-7289.12855,2713.021732297357
109.44,-7215.12747,2752.9799655285083
109.92,-7154.46688,2794.66286849818
110.4,-7091.66749,2792.596236976087
110.89,-7045.31305,2734.333394864821
111.37,-6994.09047,2618.4461347662746
111.85,-6952.02454,2504.621958146804
112.33,-6902.3469,2437.6753090084576
112.82,-6861.65728,2447.1462406211667
113.3,-6810.02219,2507.0802281006177
113.78,-6761.59631,2580.7530100966783
114.26,-6704.3682,2618.9715543574303
114.74,-6659.9774,2610.746161394108
115.23,-6614.64684,2560.9577459279703
115.71,-6585.6006,2509.658597928269
116.19,-6558.92715,2486.7874158137533
116.67,-6546.8271,2500.726856668895
117.15,-6532.59776,2510.856499089031
117.64,-6521.04749,2471.368761862972
118.12,-6491.45782,2369.0254959989843
118.6,-6453.12391,2249.2480707679597
119.08,-6405.07524,2168.9252949684246
119.56,-6375.02745,2144.4362218992974
120.05,-6353.32452,2145.4323376216576
120.53,-6345.19817,2131.6434565406125
121.01,-6322.10078,2095.26624381985
121.49,-6277.80472,2057.5489854025845
121.98,-6214.77824,2033.8784966696178
122.46,-6130.52773,2020.278129374163
122.94,-6046.57345,2000.5460429767368
123.42,-5968.40387,1972.812504453087
123.9,-5909.56489,1939.4344310456818
124.39,-5861.66891,1907.4180297448347
124.87,-5827.21113,1878.7260504848243
125.35,-5795.24055,1861.311337941444
125.83,-5771.82145,1853.2152887041245
126.31,-5747.08592,1855.8092782535032
126.8,-5723.95468,1854.0036129454259
127.28,-5689.95766,1847.465124977687
127.76,-5647.81836,1832.446603747652
128.24,-5604.2921,1807.071532029008
128.73,-5559.77779,1774.3878456359823
129.21,-5524.22764,1733.49235735036
129.69,-5494.18351,1694.8350462367184
130.17,-5471.55354,1663.1112897100718
130.65,-5450.24975,1646.0581658544202
131.14,-5427.14731,1634.1380779823091
131.62,-5402.43811,1617.8244107160006
