Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),"Coil Signal"" (mV)",Range (mV),M. Quad. Signal (emu),M. Raw' (emu),"M. Raw"" (emu)",Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
3772686324,50.16915894,0.006266713,,,2,,,,10.32199988,,,,,,,50.16915894,50.16915894,0.006266713,0.006266713,,,43.59514999,,,,40,49.88694,0,0,0,0.025177002,43.49951172,,,,,,,,,,,,,,,,
3772686334,50.16612244,0.008570657,-0.000526051,9.09E-06,1,0.999253354,40.02988815,2.000855811,10.30999981,-0.005690103,-0.001137232,0.25,-8.60E-06,-0.000525519,-1.25E-05,50.16615677,50.16615677,0.006266713,0.0108746,43.08180072,17.50413257,43.56985092,0,0,0,40,49.88477707,1,4,1,1.951751709,45.45454788,,,,,,,,,,,,,,,,
3772686343,50.16401291,8.890263557,-0.000527932,6.92E-06,1,0.999253354,40.02988815,2.000909263,10.32000035,-0.005695472,-0.001223932,0.25,-1.62E-05,-0.00052734,-2.02E-05,50.16413879,50.16413879,7.065542221,10.71498489,42.71365369,17.50411695,43.5734024,0,0,0,40,49.88075638,1,6,1,1.959686279,46.92082214,,,,,,,,,,,,,,,,
3772686343,50.16373634,13.32074165,-0.000462693,6.22E-06,1,0.999253354,40.02988815,2.000909263,10.30999981,-0.004991416,-0.001074021,0.25,-1.44E-05,-0.000462174,-1.78E-05,50.16388702,50.16388702,10.71498489,15.92649841,43.32957696,17.50411695,43.57184982,0,0,0,40,49.87962723,1,6,1,1.947784424,46.43206406,,,,,,,,,,,,,,,,
3772686344,50.16337013,20.57585144,-0.000395915,5.28E-06,1,0.999253354,40.02988815,2.000868999,10.30999981,-0.004271991,-0.000913304,0.25,-1.18E-05,-0.000395475,-1.47E-05,50.16358566,50.16358566,15.92649841,25.22520447,43.15371055,17.50311684,43.56496811,0,0,0,40,49.88041306,1,6,1,1.954193115,46.92082214,,,,,,,,,,,,,,,,
3772686345,50.16283226,31.10947037,-0.000330807,4.73E-06,1,0.999253354,40.02988815,2.000985731,10.30999981,-0.003566794,-0.000778808,0.25,-1.13E-05,-0.000330428,-1.37E-05,50.1631546,50.1631546,25.22520447,36.99373627,43.92752278,17.50549874,43.56985092,0,0,0,40,49.8791275,1,6,1,1.952819824,46.43206406,,,,,,,,,,,,,,,,
3772686346,50.16247368,41.52328491,-0.000265468,3.88E-06,1,0.999253354,40.02988815,2.000985731,10.32000035,-0.002867051,-0.000599024,0.25,-6.65E-06,-0.000265182,-8.62E-06,50.16250992,50.16250992,36.99373627,46.05283356,43.54452481,17.50549874,43.57073975,0,0,0,40,49.87878418,1,6,1,1.95892334,46.43206406,,,,,,,,,,,,,,,,
3772686347,50.16213989,51.29430008,-0.000202784,3.53E-06,1,0.999253354,40.02988815,2.000957216,10.30999981,-0.002190664,-0.000454124,0.25,-4.76E-06,-0.000202568,-6.27E-06,50.16243744,50.16243744,46.05283356,56.5357666,44.12136665,17.50365885,43.56807709,0,0,0,40,49.87792587,1,6,1,1.952514648,46.92082214,,,,,,,,,,,,,,,,
3772686348,50.16159058,61.10678101,-0.000139407,2.94E-06,1,0.999253354,40.02988815,2.000988138,10.30999981,-0.001508388,-0.000299338,0.25,-2.09E-06,-0.000139268,-3.12E-06,50.16184235,50.16184235,56.5357666,65.67779541,42.98878693,17.50687467,43.57473373,0,0,0,40,49.87740326,1,6,1,1.952972412,46.92082214,,,,,,,,,,,,,,,,
3772686349,50.16119576,70.87088394,-7.79E-05,2.83E-06,1,0.999253354,40.02988815,2.000894177,10.30999981,-0.000845535,-0.000149888,0.25,4.26E-07,-7.78E-05,-1.53E-07,50.16133881,50.16133881,65.67779541,76.06397247,43.08258235,17.50572071,43.56851959,0,0,0,40,49.87723923,1,6,1,1.965942383,46.92082214,,,,,,,,,,,,,,,,
