Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),"Coil Signal"" (mV)",Range (mV),M. Quad. Signal (emu),M. Raw' (emu),"M. Raw"" (emu)",Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
3772629943,49.61020279,999.9766235,,,2,,,,10.40200003,,,,,,,49.61020279,49.61020279,999.9766235,999.9766235,,,45.31484604,,,,40,48.85038376,0,0,0,0,44.47702789,,,,,,,,,,,,,,,,
3772630091,50.22818756,999.9766541,0.001621413,2.44E-06,1,0.999253354,40.02988815,1.989963932,10.39000042,0.017483631,0.003295994,0.25,8.78E-06,0.001619982,2.08E-05,50.22812653,50.22812653,999.9581909,999.9951172,43.78761128,17.51802721,45.37498856,0,0,0,40,49.91118622,1,4,1,1.952362061,56.20723343,,,,,,,,,,,,,,,,
3772630096,50.22755241,1000.008881,0.001639342,2.60E-06,1,0.999253354,40.02988815,1.98991296,10.39000042,0.017674946,0.003341027,0.25,9.68E-06,0.001637889,2.19E-05,50.22776794,50.22776794,999.9766235,1000.041138,43.49450058,17.51880541,45.37143707,0,0,0,40,49.91374588,6,4,1,1.953430176,51.80840683,,,,,,,,,,,,,,,,
3772630096,50.22732544,1000.013458,0.001626773,3.29E-06,1,0.999253354,40.02988815,1.989947049,10.39000042,0.017519912,0.003423725,0.25,1.96E-05,0.001625256,3.17E-05,50.22733688,50.22733688,999.9857788,1000.041138,43.33270348,17.5210367,45.37409973,0,0,0,40,49.91790009,6,4,1,1.95526123,53.27468491,,,,,,,,,,,,,,,,
3772630097,50.22756004,1000.00885,0.001628294,3.12E-06,1,0.999253354,40.02988815,1.98991632,10.40000003,0.017559929,0.003296243,0.25,7.55E-06,0.001626866,1.96E-05,50.227314,50.227314,999.9857788,1000.031921,43.25219574,17.51794882,45.37365723,0,0,0,40,49.9234581,6,4,1,1.942596436,53.76344299,,,,,,,,,,,,,,,,
3772630098,50.22818947,1000.0112,0.001628634,2.57E-06,1,0.999253354,40.02988815,1.989938983,10.39000042,0.017551537,0.003363948,0.25,1.38E-05,0.00162716,2.59E-05,50.22780609,50.22780609,999.9904785,1000.031921,43.54452481,17.51950291,45.37055206,0,0,0,40,49.93071747,6,4,1,1.95602417,53.76344299,,,,,,,,,,,,,,,,
3772630099,50.2291832,999.9789429,0.001620451,2.77E-06,1,0.999253354,40.02988815,1.989938983,10.39000042,0.017471205,0.003304128,0.25,9.71E-06,0.001619014,2.17E-05,50.22857285,50.22857285,999.9674072,999.9904785,43.62815906,17.51950291,45.36966324,0,0,0,40,49.93515778,6,4,1,1.938934326,53.27468491,,,,,,,,,,,,,,,,
3772630100,50.23091888,999.9697266,0.001625443,1.91E-06,1,0.999253354,40.02988815,1.989937771,10.39000042,0.017522759,0.003326701,0.25,1.09E-05,0.001623994,2.30E-05,50.22979355,50.22979355,999.9674072,999.9720459,43.90485555,17.51879946,45.37720871,0,0,0,40,49.95056915,6,4,1,1.95526123,52.78592682,,,,,,,,,,,,,,,,
3772630101,50.23348236,999.9789124,0.001623347,2.43E-06,1,0.999253354,40.02988815,1.989831616,10.40000003,0.017495444,0.003343327,0.25,1.28E-05,0.001621887,2.49E-05,50.23204422,50.23204422,999.9720459,999.9857788,43.76963382,17.51870607,45.38031387,0,0,0,40,49.96247864,6,4,1,1.950531006,51.80840683,,,,,,,,,,,,,,,,
3772630102,50.23607635,1000.006531,0.001620877,2.46E-06,1,0.999253354,40.02988815,1.989844039,10.39000042,0.017466457,0.003351839,0.25,1.41E-05,0.001619411,2.61E-05,50.2349205,50.2349205,999.9857788,1000.027283,43.6594242,17.51694281,45.38098145,0,0,0,40,49.97572708,6,4,1,1.952972412,53.27468491,,,,,,,,,,,,,,,,
