Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),"Coil Signal"" (mV)",Range (mV),M. Quad. Signal (emu),M. Raw' (emu),"M. Raw"" (emu)",Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
3772693921,50.17927551,2000.013794,-0.001742667,7.66E-06,1,0.999253354,40.02988815,2.001306458,10.28000005,-0.018874238,-0.003663854,0.25,-1.88E-05,-0.001741096,-3.18E-05,50.1794014,50.1794014,1999.983765,2000.043823,44.43010992,17.55404969,43.61933899,0,0,0,40,49.89830017,1,4,1,1.97052002,62.0723381,,,,,,,,,,,,,,,,
3772693926,50.17786217,1999.990845,-0.001785716,9.80E-06,1,0.999253354,40.02988815,2.001202331,10.28999966,-0.019252663,-0.004229078,0.25,-6.31E-05,-0.001783781,-7.63E-05,50.17802429,50.17802429,1999.988525,1999.993164,44.14481551,17.54788349,43.61623383,0,0,0,40,49.89762497,6,4,1,1.971740723,60.11730194,,,,,,,,,,,,,,,,
3772693962,50.50512505,1999.983887,-0.001744596,7.02E-06,1,0.999253354,40.02988815,2.001310217,10.28000005,-0.018930641,-0.003484867,0.25,-1.97E-06,-0.001743327,-1.49E-05,50.49526215,50.49526215,1999.979248,1999.988525,44.12136665,17.55417493,43.67593002,0,0,0,40,50.60544205,6,4,1,1.970214844,60.11730194,,,,,,,,,,,,,,,,
3772693992,51.0044384,2000.016052,-0.001782687,1.02E-05,1,0.999253354,40.02988815,2.001164724,10.28000005,-0.01923383,-0.00417251,0.25,-5.83E-05,-0.001781248,-7.16E-05,50.99655914,50.99655914,2000.002197,2000.029907,44.33318798,17.54617641,43.77135849,0,0,0,40,51.15885544,2,4,1,1.960601807,60.60606384,,,,,,,,,,,,,,,,
3772694022,51.50342751,1999.979248,-0.001718938,9.63E-06,1,0.999253354,40.02988815,2.001216459,10.28000005,-0.018595693,-0.003770728,0.25,-3.29E-05,-0.00171799,-4.57E-05,51.49405289,51.49405289,1999.979248,1999.979248,44.7036799,17.5520601,43.88698196,0,0,0,40,51.69150543,2,4,1,1.962890625,61.58358002,,,,,,,,,,,,,,,,
3772694067,52.25136948,1999.997681,,,2,,,,10.28200004,,,,,,,52.25136948,52.25136948,1999.997681,1999.997681,,,44.09625626,,,,40,52.43951035,0,0,0,0.040435791,57.67351151,,,,,,,,,,,,,,,,
3772694064,52.20040321,1999.988464,-0.001675716,1.11E-05,1,0.999253354,40.02988815,2.001298528,10.28000005,-0.018151684,-0.003573172,0.25,-2.25E-05,-0.001675224,-3.50E-05,51.97472382,51.97472382,1999.983765,1999.993164,44.46840972,17.55021981,44.13731384,0,0,0,40,52.6257515,2,4,1,1.965789795,59.62854385,,,,,,,,,,,,,,,,
3772694083,52.51315689,1999.983887,-0.001654692,1.18E-05,1,0.999253354,40.02988815,2.001280964,10.28000005,-0.017959768,-0.003341413,0.25,-5.03E-06,-0.001654493,-1.73E-05,52.50391006,52.50391006,1999.979248,1999.988525,43.4210275,17.55472981,44.15795135,0,0,0,40,52.72792053,2,4,1,1.963500977,60.11730194,,,,,,,,,,,,,,,,
3772694113,53.00668907,1999.990845,-0.0016534,4.89E-06,1,0.999253354,40.02988815,2.001156353,10.28000005,-0.017843446,-0.003907398,0.25,-5.74E-05,-0.001653061,-6.96E-05,52.99966812,52.99966812,1999.988525,1999.993164,44.04085892,17.54924481,44.32617188,0,0,0,40,53.2301178,2,4,1,1.967163086,60.60606384,,,,,,,,,,,,,,,,
3772694143,53.50144005,1999.986145,-0.001592629,7.65E-06,1,0.999253354,40.02988815,2.001173411,10.27000044,-0.0172081,-0.003667179,0.25,-4.63E-05,-0.001592608,-5.81E-05,53.49238968,53.49238968,1999.983765,1999.988525,44.19014996,17.54754036,44.53012085,0,0,0,40,53.74252319,2,4,1,1.959991455,61.09482193,,,,,,,,,,,,,,,,
3772694174,54.01318932,2000.018494,-0.00152553,7.98E-06,1,0.999253354,40.02988815,2.001197471,10.27000044,-0.016649502,-0.002618158,0.25,3.80E-05,-0.001526353,2.67E-05,54.00556564,54.00556564,1999.993164,2000.043823,44.43714458,17.55220878,44.77290726,0,0,0,40,54.26848602,2,4,1,1.962432861,60.60606384,,,,,,,,,,,,,,,,
3772694204,54.5072422,1999.986206,-0.001465715,7.92E-06,1,0.999253354,40.02988815,2.001354063,10.27000044,-0.015930927,-0.002894989,0.25,1.58E-06,-0.001466463,-9.21E-06,54.49882889,54.49882889,1999.979248,1999.993164,44.72478387,17.55470314,44.9799614,0,0,0,40,54.78730392,2,4,1,1.967926025,61.58358002,,,,,,,,,,,,,,,,
3772694234,55.00409698,2000.020752,-0.001443706,6.25E-06,1,0.999253354,40.02988815,2.001382628,10.28000005,-0.015703913,-0.002798815,0.25,6.41E-06,-0.001444688,-4.18E-06,54.99609756,54.99609756,1999.997681,2000.043823,44.44183435,17.55581716,45.17414856,0,0,0,40,55.29003906,2,4,1,1.967926025,61.58358002,,,,,,,,,,,,,,,,
3772694264,55.50200844,1999.988464,-0.001385582,6.08E-06,1,0.999253354,40.02988815,2.001266187,10.27000044,-0.015013771,-0.003010411,0.25,-2.37E-05,-0.001386505,-3.38E-05,55.49230957,55.49230957,1999.983765,1999.993164,44.29879633,17.55374322,45.36966324,0,0,0,40,55.80249786,2,4,1,1.971130371,62.0723381,,,,,,,,,,,,,,,,
3772694295,56.0150013,1999.988464,-0.001367468,7.65E-06,1,0.999253354,40.02988815,2.001271824,10.28000005,-0.014794631,-0.003108712,0.25,-3.61E-05,-0.001368488,-4.60E-05,56.00848389,56.00848389,1999.979248,1999.997681,44.35116544,17.55199008,45.55541229,0,0,0,40,56.3277092,2,4,1,1.970367432,62.0723381,,,,,,,,,,,,,,,,
3772694325,56.5108223,1999.993103,-0.001311204,7.68E-06,1,0.999253354,40.02988815,2.001281712,10.27000044,-0.014227884,-0.002762716,0.25,-1.45E-05,-0.001312511,-2.40E-05,56.50350571,56.50350571,1999.988525,1999.997681,44.62629868,17.55435613,45.71408844,0,0,0,40,56.83528519,2,4,1,1.96685791,62.0723381,,,,,,,,,,,,,,,,
3772694355,57.00762367,1999.981506,-0.001264135,4.93E-06,1,0.999253354,40.02988815,2.001253763,10.28000005,-0.013732828,-0.002587319,0.25,-7.00E-06,-0.00126562,-1.61E-05,56.99959183,56.99959183,1999.979248,1999.983765,44.4433976,17.55171334,45.87054825,0,0,0,40,57.34125137,2,4,1,1.971893311,62.0723381,,,,,,,,,,,,,,,,
3772694385,57.50449944,2000.023132,-0.001227367,9.66E-06,1,0.999253354,40.02988815,2.001237868,10.28000005,-0.013266478,-0.002888063,0.25,-4.14E-05,-0.001228726,-5.03E-05,57.49863052,57.49863052,1999.993164,2000.053101,44.53484814,17.5536131,46.01124573,0,0,0,40,57.84560013,2,4,1,1.971740723,62.56109619,,,,,,,,,,,,,,,,
3772694415,58.00298119,2000.020752,-0.001184991,6.08E-06,1,0.999253354,40.02988815,2.001177577,10.27000044,-0.012843906,-0.002601773,0.25,-2.28E-05,-0.001186584,-3.13E-05,57.99595642,57.99595642,1999.993164,2000.04834,44.65521893,17.55285252,46.13197327,0,0,0,40,58.35068512,2,4,1,1.968231201,63.04985428,,,,,,,,,,,,,,,,
