k,e1,e2
0.0,0.0,0.0
32.0513,-69887.6,27656.4
64.1026,-19460.8,7178.71
96.1538,-9436.34,3572.32
128.205,-5737.23,2144.65
160.256,-3913.33,1399.27
192.308,-2853.82,959.9
224.359,-2173.12,683.008
256.41,-1705.88,500.51
288.462,-1369.94,376.007
320.513,-1119.92,288.607
352.564,-928.75,225.721
384.615,-779.337,179.483
416.667,-660.398,144.824
448.718,-564.224,118.394
480.769,-485.395,97.9241
512.821,-420.009,81.8482
544.872,-365.196,69.0624
576.923,-318.811,58.7758
608.974,-279.223,50.4129
641.026,-245.176,43.5487
673.077,-215.689,37.8649
705.128,-189.988,33.1204
737.179,-167.455,29.1304
769.231,-147.594,25.7518
801.282,-130.0,22.8726
833.333,-114.343,20.4044
865.385,-100.35,18.2769
897.436,-87.7951,16.4335
929.487,-76.4879,14.8287
961.538,-66.2693,13.4252
993.59,-57.0045,12.1925
1025.64,-48.579,11.1056
1057.69,-40.8946,10.1436
1089.74,-33.8672,9.28917
1121.79,-27.4243,8.52771
1153.85,-21.5031,7.84696
1185.9,-16.0487,7.23655
1217.95,-11.0137,6.68764
1250.0,-6.35614,6.1927
1282.05,-2.03936,5.74529
1314.1,1.969,5.33984
1346.15,5.69758,4.97156
1378.21,9.17175,4.6363
1410.26,12.4141,4.33045
1442.31,15.4447,4.05085
1474.36,18.2817,3.79477
1506.41,20.9411,3.55978
1538.46,23.4374,3.34375
1570.51,25.7836,3.14483
1602.56,27.9916,2.96135
1634.62,30.0719,2.79184
1666.67,32.0343,2.635
1698.72,33.8873,2.48967
1730.77,35.6391,2.35482
1762.82,37.2968,2.22952
1794.87,38.867,2.11295
1826.92,40.3559,2.00434
1858.97,41.7688,1.90305
1891.03,43.1109,1.80845
1923.08,44.3868,1.72002
1955.13,45.6008,1.63725
1987.18,46.7568,1.5597
2019.23,47.8585,1.48697
2051.28,48.9092,1.41868
2083.33,49.912,1.35451
2115.38,50.8698,1.29415
2147.44,51.7852,1.23731
2179.49,52.6607,1.18376
2211.54,53.4985,1.13324
2243.59,54.3009,1.08556
2275.64,55.0697,1.04051
2307.69,55.8068,0.997922
2339.74,56.514,0.957622
2371.79,57.1927,0.919461
2403.85,57.8446,0.883299
2435.9,58.4711,0.849007
2467.95,59.0733,0.816467
2500.0,59.6527,0.785567
2532.05,60.2102,0.756205
2564.1,60.747,0.728288
2596.15,61.2641,0.701727
2628.21,61.7625,0.676441
2660.26,62.243,0.652354
2692.31,62.7065,0.629397
2724.36,63.1538,0.607504
2756.41,63.5856,0.586614
2788.46,64.0027,0.566671
2820.51,64.4056,0.54762
2852.56,64.7951,0.529414
2884.62,65.1717,0.512005
2916.67,65.536,0.495351
2948.72,65.8885,0.479411
2980.77,66.2297,0.464147
3012.82,66.5601,0.449524
3044.87,66.8801,0.435509
3076.92,67.1902,0.422069
3108.97,67.4908,0.409177
3141.03,67.7823,0.396805
3173.08,68.065,0.384926
3205.13,68.3393,0.373516
3237.18,68.6054,0.362552
3269.23,68.8638,0.352013
3301.28,69.1148,0.341879
3333.33,69.3585,0.33213
3365.38,69.5953,0.322747
3397.44,69.8255,0.313715
3429.49,70.0492,0.305017
