Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),"Coil Signal"" (mV)",Range (mV),M. Quad. Signal (emu),M. Raw' (emu),"M. Raw"" (emu)",Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
3773001718,50.17621994,-0.015851112,,,2,,,,9.251999891,,,,,,,50.17621994,50.17621994,-0.015851112,-0.015851112,,,4.434127808,,,,40,49.86156845,0,0,0,0.002441406,42.52199554,,,,,,,,,,,,,,,,
3773001728,50.17140961,-0.025066876,0.000146381,3.93E-07,1,0.999253354,40.02988815,1.996916213,9.239999577,0.001583112,0.000301038,0.25,1.02E-06,0.000146243,2.11E-06,50.17140961,50.17140961,-0.03428264,-0.015851112,44.07759546,17.49487951,4.432802677,0,0,0,40,49.8601265,1,4,1,1.953887939,45.45454788,,,,,,,,,,,,,,,,
3773001736,50.16877747,9.14692235,9.73E-05,1.07E-05,1,0.999253354,40.02988815,1.996800334,9.239999577,0.0010526,0.000198078,0.25,4.95E-07,9.72E-05,1.22E-06,50.16877747,50.16877747,5.82233572,12.47150898,43.93533907,17.48778822,4.432772636,0,0,0,40,49.85741806,1,6,1,1.949615479,45.94330597,,,,,,,,,,,,,,,,
3773001737,50.16870499,23.78385973,-0.000261942,1.89E-05,1,0.999253354,40.02988815,1.996820936,9.239999577,-0.002829517,-0.000556461,0.25,-3.48E-06,-0.000261683,-5.42E-06,50.16877747,50.16877747,12.47150898,35.09621048,43.12244541,17.49268022,4.432687759,0,0,0,40,49.8570137,1,6,1,1.94519043,46.43206406,,,,,,,,,,,,,,,,
3773001738,50.16867447,48.00288963,-0.000675839,1.89E-05,1,0.999253354,40.02988815,1.996900254,9.239999577,-0.007307204,-0.001400494,0.25,-5.71E-06,-0.000675196,-1.07E-05,50.16863251,50.16863251,35.09621048,60.90956879,42.88092219,17.4981027,4.432715416,0,0,0,40,49.85695267,1,6,1,1.945037842,45.94330597,,,,,,,,,,,,,,,,
3773001739,50.16844177,72.32099152,-0.001090834,1.85E-05,1,0.999253354,40.02988815,1.996868199,9.239999577,-0.011796244,-0.002248039,0.25,-8.07E-06,-0.001089805,-1.62E-05,50.16871643,50.16871643,60.90956879,83.73241425,43.50388012,17.49871185,4.433049679,0,0,0,40,49.85678864,1,6,1,1.953582764,46.43206406,,,,,,,,,,,,,,,,
3773001740,50.16831017,96.73124695,-0.001496001,1.83E-05,1,0.999253354,40.02988815,1.996673779,9.239999577,-0.016176382,-0.003081898,0.25,-1.10E-05,-0.001494591,-2.21E-05,50.16816711,50.16816711,83.73241425,109.7300797,43.97285723,17.49786498,4.43333149,0,0,0,40,49.85640717,1,6,1,1.946563721,45.94330597,,,,,,,,,,,,,,,,
3773001741,50.16816711,122.5515099,-0.001892056,1.71E-05,1,0.999253354,40.02988815,1.996763758,9.239999577,-0.020461788,-0.0038873,0.25,-1.29E-05,-0.001890281,-2.70E-05,50.16845322,50.16845322,109.7300797,135.3729401,43.58204298,17.49677127,4.432695866,0,0,0,40,49.85617065,1,6,1,1.937255859,46.43206406,,,,,,,,,,,,,,,,
3773001742,50.16787529,148.3395309,-0.00225813,1.58E-05,1,0.999253354,40.02988815,1.996606816,9.239999577,-0.024419886,-0.004633796,0.25,-1.49E-05,-0.002256016,-3.17E-05,50.16788101,50.16788101,135.3729401,161.3061218,43.39445213,17.49430646,4.433232784,0,0,0,40,49.85567093,1,6,1,1.936798096,46.43206406,,,,,,,,,,,,,,,,
3773001743,50.16779709,174.0238724,-0.002597839,1.45E-05,1,0.999253354,40.02988815,1.996616873,9.239999577,-0.028093039,-0.00533461,0.25,-1.75E-05,-0.002595405,-3.68E-05,50.16786957,50.16786957,161.3061218,186.7416229,43.45620078,17.49373129,4.43268013,0,0,0,40,49.85538483,1,6,1,1.952514648,46.43206406,,,,,,,,,,,,,,,,
3773001744,50.16769409,199.5607376,-0.002910509,1.34E-05,1,0.999253354,40.02988815,1.996676805,9.239999577,-0.031476882,-0.005967505,0.25,-1.88E-05,-0.002907791,-4.04E-05,50.16772461,50.16772461,186.7416229,212.3798523,43.88531484,17.49073241,4.432654858,0,0,0,40,49.85593033,1,6,1,1.952056885,46.43206406,,,,,,,,,,,,,,,,
3773001745,50.16732979,221.6693573,-0.00319331,1.19E-05,1,0.999253354,40.02988815,1.996697454,9.239999577,-0.034536755,-0.006541653,0.25,-2.00E-05,-0.003190334,-4.38E-05,50.16766357,50.16766357,212.3798523,230.9588623,43.96738584,17.50008799,4.433030605,0,0,0,40,49.85483932,1,6,1,1.954498291,46.92082214,,,,,,,,,,,,,,,,
3773001746,50.16693687,243.6673889,-0.003440254,1.06E-05,1,0.999253354,40.02988815,1.996731826,9.239999577,-0.037208487,-0.00704588,0.25,-2.14E-05,-0.00343705,-4.70E-05,50.166996,50.166996,230.9588623,256.3759155,43.58673275,17.5029656,4.432428837,0,0,0,40,49.854599,1,6,1,1.959228516,46.92082214,,,,,,,,,,,,,,,,
3773001747,50.16662598,269.3079376,-0.003648256,9.24E-06,1,0.999253354,40.02988815,1.996727972,9.239999577,-0.039459649,-0.007463423,0.25,-2.19E-05,-0.003644866,-4.90E-05,50.16687775,50.16687775,256.3759155,282.2399597,43.04115604,17.49302419,4.433016777,0,0,0,40,49.85544586,1,6,1,1.952362061,46.43206406,,,,,,,,,,,,,,,,
3773001748,50.16609955,295.2526398,-0.003827784,7.73E-06,1,0.999253354,40.02988815,1.996857312,9.239999577,-0.041402999,-0.007836632,0.25,-2.35E-05,-0.003824226,-5.20E-05,50.16637421,50.16637421,282.2399597,308.2653198,43.99161632,17.50012119,4.433008194,0,0,0,40,49.85506439,1,6,1,1.944580078,47.40958023,,,,,,,,,,,,,,,,
3773001749,50.16576958,321.1305237,-0.003979333,6.81E-06,1,0.999253354,40.02988815,1.996826428,9.239999577,-0.04304188,-0.00814531,0.25,-2.43E-05,-0.003975637,-5.39E-05,50.16582489,50.16582489,308.2653198,333.9957275,42.72694138,17.4993354,4.432901382,0,0,0,40,49.85468292,1,6,1,1.951141357,46.92082214,,,,,,,,,,,,,,,,
3773001750,50.16564369,347.0198975,-0.004106487,6.00E-06,1,0.999253354,40.02988815,1.996898671,9.239999577,-0.04441916,-0.008403783,0.25,-2.49E-05,-0.004102678,-5.54E-05,50.16571426,50.16571426,333.9957275,360.0440674,42.99972973,17.49942604,4.432901859,0,0,0,40,49.85483932,1,6,1,1.945343018,46.92082214,,,,,,,,,,,,,,,,
3773001751,50.16557884,373.1580963,-0.004210405,5.36E-06,1,0.999253354,40.02988815,1.996939374,9.239999577,-0.045542958,-0.008623066,0.25,-2.61E-05,-0.004206498,-5.74E-05,50.16557312,50.16557312,360.0440674,386.2721252,43.06538652,17.50340268,4.432545185,0,0,0,40,49.85439682,1,6,1,1.946868896,46.92082214,,,,,,,,,,,,,,,,
3773001752,50.16534424,399.1672821,-0.004294902,4.67E-06,1,0.999253354,40.02988815,1.996851232,9.239999577,-0.046457071,-0.008784584,0.25,-2.56E-05,-0.004290927,-5.75E-05,50.16558456,50.16558456,386.2721252,412.062439,43.57110018,17.49762264,4.433046818,0,0,0,40,49.85466003,1,6,1,1.959533691,47.40958023,,,,,,,,,,,,,,,,
3773001753,50.16490173,423.4784698,-0.00435634,4.02E-06,1,0.999253354,40.02988815,1.996863356,9.250000119,-0.047121538,-0.008912447,0.25,-2.62E-05,-0.004352309,-5.85E-05,50.16510391,50.16510391,412.062439,434.8945007,43.77432359,17.49890809,4.432740688,0,0,0,40,49.85422134,1,6,1,1.945648193,46.92082214,,,,,,,,,,,,,,,,
3773001754,50.16465187,446.4073029,-0.004400026,3.97E-06,1,0.999253354,40.02988815,1.996815091,9.239999577,-0.047593585,-0.008998522,0.25,-2.62E-05,-0.004395959,-5.88E-05,50.16469955,50.16469955,434.8945007,457.920105,43.12479029,17.49614198,4.432813644,0,0,0,40,49.85477829,1,6,1,1.929168701,47.40958023,,,,,,,,,,,,,,,,
3773001755,50.16461563,470.7276917,-0.004427414,3.95E-06,1,0.999253354,40.02988815,1.996851105,9.229999967,-0.047891264,-0.009051538,0.25,-2.60E-05,-0.004423327,-5.89E-05,50.16460419,50.16460419,457.920105,483.5352783,43.02708673,17.49253652,4.432925224,0,0,0,40,49.85430527,1,6,1,1.93862915,47.89833832,,,,,,,,,,,,,,,,
3773001755,50.16462708,494.9190674,-0.004440918,3.45E-06,1,0.999253354,40.02988815,1.99682301,9.239999577,-0.048035473,-0.009085888,0.25,-2.68E-05,-0.004436817,-5.97E-05,50.16462708,50.16462708,483.5352783,506.3028564,43.9251779,17.49495138,4.433118343,0,0,0,40,49.85490799,1,6,1,1.947784424,48.38709641,,,,,,,,,,,,,,,,
3773001757,50.16454315,520.9121399,-0.004439397,3.43E-06,1,0.999253354,40.02988815,1.996858127,9.239999577,-0.048020439,-0.009079728,0.25,-2.64E-05,-0.004435303,-5.94E-05,50.16462708,50.16462708,506.3028564,535.5214233,43.69850562,17.49812512,4.433082581,0,0,0,40,49.85490799,1,6,1,1.950836182,47.40958023,,,,,,,,,,,,,,,,
3773001758,50.16441727,547.1355896,-0.004426278,3.55E-06,1,0.999253354,40.02988815,1.996798152,9.239999577,-0.047877984,-0.009048446,0.25,-2.60E-05,-0.004422203,-5.89E-05,50.16445923,50.16445923,535.5214233,558.7497559,43.60627346,17.49095856,4.432693481,0,0,0,40,49.85483932,1,6,1,1.956634521,47.89833832,,,,,,,,,,,,,,,,
3773001759,50.16424942,571.451416,-0.004403079,3.62E-06,1,0.999253354,40.02988815,1.996758418,9.250000119,-0.047625576,-0.009004149,0.25,-2.62E-05,-0.004399025,-5.89E-05,50.16437531,50.16437531,558.7497559,584.1530762,43.26939157,17.49869716,4.432655334,0,0,0,40,49.85520554,1,6,1,1.941070557,48.38709641,,,,,,,,,,,,,,,,
3773001760,50.16402817,597.1726379,-0.004371696,3.94E-06,1,0.999253354,40.02988815,1.996976069,9.239999577,-0.047294071,-0.008924309,0.25,-2.44E-05,-0.004367686,-5.69E-05,50.16412354,50.16412354,584.1530762,610.1921997,43.88453321,17.50664983,4.432944298,0,0,0,40,49.85500336,1,6,1,1.943206787,47.89833832,,,,,,,,,,,,,,,,
3773001761,50.16384315,621.5967102,-0.004335907,4.09E-06,1,0.999253354,40.02988815,1.996638776,9.239999577,-0.046896728,-0.008864615,0.25,-2.56E-05,-0.004331923,-5.78E-05,50.1639328,50.1639328,610.1921997,633.0012207,43.52263921,17.50031044,4.432673454,0,0,0,40,49.854599,1,6,1,1.957550049,48.38709641,,,,,,,,,,,,,,,,
3773001762,50.16366959,645.8088074,-0.004292673,4.11E-06,1,0.999253354,40.02988815,1.996720098,9.229999967,-0.046431196,-0.008775156,0.25,-2.52E-05,-0.004288732,-5.71E-05,50.16375351,50.16375351,633.0012207,658.616394,43.56172063,17.49865647,4.433103561,0,0,0,40,49.85520554,1,6,1,1.943206787,48.87585831,,,,,,,,,,,,,,,,
3773001763,50.16349602,671.4631653,-0.00424637,4.29E-06,1,0.999253354,40.02988815,1.996567075,9.239999577,-0.045927387,-0.008678106,0.25,-2.48E-05,-0.004242476,-5.63E-05,50.16358566,50.16358566,658.616394,684.3099365,43.77745011,17.49777757,4.432751179,0,0,0,40,49.85506439,1,6,1,1.941375732,48.38709641,,,,,,,,,,,,,,,,
3773001764,50.163311,697.1290894,-0.004195619,3.97E-06,1,0.999253354,40.02988815,1.996769169,9.239999577,-0.045384015,-0.008568957,0.25,-2.39E-05,-0.00419178,-5.51E-05,50.16340637,50.16340637,684.3099365,709.9482422,43.47261498,17.50746617,4.433241844,0,0,0,40,49.85483932,1,6,1,1.948394775,48.38709641,,,,,,,,,,,,,,,,
3773001765,50.163311,722.8548889,-0.00414462,3.94E-06,1,0.999253354,40.02988815,1.996844171,9.239999577,-0.0448343,-0.008463415,0.25,-2.35E-05,-0.004140832,-5.42E-05,50.16321564,50.16321564,709.9482422,735.7615356,43.26235691,17.50644301,4.43241024,0,0,0,40,49.85538483,1,6,1,1.943664551,47.89833832,,,,,,,,,,,,,,,,
3773001766,50.16335869,747.2559204,-0.004090365,4.17E-06,1,0.999253354,40.02988815,1.996907439,9.239999577,-0.044247813,-0.008358059,0.25,-2.36E-05,-0.004086626,-5.40E-05,50.16340637,50.16340637,735.7615356,758.7503052,43.95566141,17.5087755,4.432721138,0,0,0,40,49.85515976,1,6,1,1.956787109,49.36461639,,,,,,,,,,,,,,,,
3773001767,50.16316795,771.2791443,-0.004037703,4.17E-06,1,0.999253354,40.02988815,1.996801321,9.239999577,-0.043677809,-0.008239967,0.25,-2.24E-05,-0.004034021,-5.24E-05,50.163311,50.163311,758.7503052,783.8079834,43.96894909,17.50982216,4.432224751,0,0,0,40,49.8557663,1,6,1,1.939544678,48.87585831,,,,,,,,,,,,,,,,
3773001768,50.16301918,796.7146606,-0.003986324,3.62E-06,1,0.999253354,40.02988815,1.996641573,9.239999577,-0.043118613,-0.00813546,0.25,-2.22E-05,-0.003982692,-5.18E-05,50.1630249,50.1630249,783.8079834,809.6213379,43.09196189,17.49718611,4.43249464,0,0,0,40,49.85549164,1,6,1,1.940155029,48.38709641,,,,,,,,,,,,,,,,
3773001769,50.16280365,821.0972595,-0.003932383,3.74E-06,1,0.999253354,40.02988815,1.996897022,9.239999577,-0.04254053,-0.008025288,0.25,-2.18E-05,-0.003928804,-5.10E-05,50.16301346,50.16301346,809.6213379,832.5731812,43.16465335,17.50615658,4.432492733,0,0,0,40,49.85581207,1,6,1,1.953735352,48.87585831,,,,,,,,,,,,,,,,
3773001770,50.16261101,845.2863159,-0.003882856,3.49E-06,1,0.999253354,40.02988815,1.996602741,9.239999577,-0.041999946,-0.007917492,0.25,-2.10E-05,-0.003879329,-4.98E-05,50.16259384,50.16259384,832.5731812,857.9994507,42.2892294,17.5014561,4.432742119,0,0,0,40,49.85588455,1,6,1,1.938323975,48.87585831,,,,,,,,,,,,,,,,
3773001771,50.16246223,871.0075378,-0.003830929,3.62E-06,1,0.999253354,40.02988815,1.996798329,9.239999577,-0.041439858,-0.007824834,0.25,-2.19E-05,-0.003827443,-5.03E-05,50.16262817,50.16262817,857.9994507,884.015625,43.63675697,17.50646875,4.43296814,0,0,0,40,49.85578918,1,6,1,1.948242188,48.87585831,,,,,,,,,,,,,,,,
3773001772,50.1622963,893.4295044,-0.003782091,3.20E-06,1,0.999253354,40.02988815,1.996887697,9.239999577,-0.04091564,-0.007712789,0.25,-2.04E-05,-0.003778661,-4.85E-05,50.1622963,50.1622963,884.015625,902.8433838,43.07554769,17.50865114,4.432522774,0,0,0,40,49.85588455,1,6,1,1.942596436,46.92082214,,,,,,,,,,,,,,,,
3773001773,50.16226006,915.9436035,-0.003731904,3.32E-06,1,0.999253354,40.02988815,1.996788505,9.239999577,-0.040369362,-0.007618103,0.25,-2.09E-05,-0.003728516,-4.86E-05,50.1622963,50.1622963,902.8433838,929.0438232,43.59689392,17.50550677,4.432661057,0,0,0,40,49.8560524,1,6,1,1.941833496,48.38709641,,,,,,,,,,,,,,,,
3773001774,50.16204453,941.9827271,-0.003683021,3.07E-06,1,0.999253354,40.02988815,1.99687166,9.239999577,-0.039843424,-0.007511869,0.25,-2.00E-05,-0.003679686,-4.74E-05,50.16222382,50.16222382,929.0438232,954.9216309,43.55703086,17.50777232,4.432623386,0,0,0,40,49.85632324,1,6,1,1.946716309,46.92082214,,,,,,,,,,,,,,,,
