W E1
0.1 10.363
0.101388 10.363
0.102796 10.363
0.104223 10.363
0.10567 10.363
0.107137 10.363
0.108625 10.363
0.110133 10.363
0.111662 10.363
0.113212 10.363
0.114784 10.363
0.116377 10.363
0.117993 10.363
0.119631 10.363
0.121292 10.363
0.122976 10.363
0.124683 10.363
0.126414 10.363
0.128169 10.363
0.129949 10.363
0.131753 10.363
0.133582 10.363
0.135437 10.363
0.137317 10.363
0.139224 10.363
0.141156 10.363
0.143116 10.363
0.145103 10.363
0.147118 10.363
0.14916 10.363
0.151231 10.363
0.153331 10.363
0.155459 10.363
0.157618 10.363
0.159806 10.363
0.162025 10.363
0.164274 10.363
0.166555 10.363
0.168867 10.363
0.171212 10.363
0.173589 10.363
0.175999 10.363
0.178442 10.363
0.180919 10.363
0.183431 10.363
0.185978 10.363
0.18856 10.363
0.191178 10.363
0.193832 10.363
0.196523 10.363
0.199251 10.363
0.202018 10.363
0.204822 10.363
0.207666 10.363
0.210549 10.363
0.213472 10.363
0.216436 10.363
0.219441 10.363
0.222487 10.363
0.225576 10.363
0.228708 10.363
0.231883 10.363
0.235103 10.363
0.238367 10.363
0.241676 10.363
0.245031 10.363
0.248433 10.363
0.251882 10.363
0.255379 10.363
0.258925 10.363
0.26252 10.363
0.266164 10.363
0.26986 10.363
0.273606 10.363
0.277405 10.363
0.281256 10.363
0.285161 10.363
0.28912 10.363
0.293134 10.363
0.297203 10.363
0.30133 10.363
0.305513 10.363
0.309755 10.363
0.314055 10.363
0.318415 10.363
0.322836 10.363
0.327318 10.363
0.331862 10.363
0.33647 10.363
0.341141 10.363
0.345877 10.363
0.350679 10.363
0.355548 10.363
0.360484 10.363
0.365489 10.363
0.370563 10.363
0.375708 10.363
0.380924 10.363
0.386213 10.363
0.391574 10.363
0.397011 10.363
0.402523 10.363
0.408111 10.363
0.413777 10.363
0.419522 10.363
0.425346 10.3631
0.431251 10.3631
0.437239 10.3631
0.443309 10.3631
0.449464 10.3631
0.455704 10.3631
0.462031 10.3631
0.468445 10.3631
0.474949 10.3631
0.481543 10.3631
0.488228 10.3631
0.495006 10.3631
0.501879 10.3631
0.508847 10.3631
0.515911 10.3631
0.523074 10.3631
0.530336 10.3631
0.537699 10.3631
0.545164 10.3631
0.552732 10.3631
0.560406 10.3631
0.568187 10.3631
0.576075 10.3631
0.584073 10.3631
0.592182 10.3631
0.600403 10.3631
0.608739 10.3631
0.61719 10.3631
0.625759 10.3631
0.634447 10.3631
0.643255 10.3631
0.652186 10.3631
0.66124 10.3631
0.670421 10.3631
0.679728 10.3631
0.689165 10.3631
0.698733 10.3631
0.708434 10.3631
0.718269 10.3631
0.728242 10.3631
0.738352 10.3631
0.748603 10.3631
0.758996 10.3631
0.769534 10.3631
0.780217 10.3631
0.791049 10.3631
0.802032 10.3631
0.813167 10.3631
0.824456 10.3631
0.835903 10.3631
0.847508 10.3631
0.859274 10.3631
0.871204 10.3631
0.883299 10.3631
0.895562 10.3631
0.907996 10.3631
0.920602 10.3631
0.933383 10.3631
0.946342 10.3631
0.95948 10.3631
0.972801 10.3631
0.986307 10.3631
1 10.3631
1.01388 10.3631
1.02796 10.3631
1.04223 10.3631
1.0567 10.3631
1.07137 10.3631
1.08625 10.3631
1.10133 10.3631
1.11662 10.3631
1.13212 10.3631
1.14784 10.3631
1.16377 10.3631
1.17993 10.3631
1.19631 10.3631
1.21292 10.3631
1.22976 10.3632
1.24683 10.3632
1.26414 10.3632
1.28169 10.3632
1.29949 10.3632
1.31753 10.3632
1.33582 10.3632
1.35437 10.3632
1.37317 10.3632
1.39224 10.3632
1.41156 10.3632
1.43116 10.3632
1.45103 10.3632
1.47118 10.3632
1.4916 10.3632
1.51231 10.3632
1.53331 10.3632
1.55459 10.3632
1.57618 10.3632
1.59806 10.3632
1.62025 10.3632
1.64274 10.3632
1.66555 10.3632
1.68867 10.3633
1.71212 10.3633
1.73589 10.3633
1.75999 10.3633
1.78442 10.3633
1.80919 10.3633
1.83431 10.3633
1.85978 10.3633
1.8856 10.3633
1.91178 10.3633
1.93832 10.3633
1.96523 10.3633
1.99251 10.3633
2.02018 10.3633
2.04822 10.3634
2.07666 10.3634
2.10549 10.3634
2.13472 10.3634
2.16436 10.3634
2.19441 10.3634
2.22487 10.3634
2.25576 10.3634
2.28708 10.3634
2.31883 10.3634
2.35103 10.3635
2.38367 10.3635
2.41676 10.3635
2.45031 10.3635
2.48433 10.3635
2.51882 10.3635
2.55379 10.3635
2.58925 10.3636
2.6252 10.3636
2.66164 10.3636
2.6986 10.3636
2.73606 10.3636
2.77405 10.3636
2.81256 10.3636
2.85161 10.3637
2.8912 10.3637
2.93134 10.3637
2.97203 10.3637
3.0133 10.3637
3.05513 10.3638
3.09755 10.3638
3.14055 10.3638
3.18415 10.3638
3.22836 10.3638
3.27318 10.3639
3.31862 10.3639
3.3647 10.3639
3.41141 10.3639
3.45877 10.364
3.50679 10.364
3.55548 10.364
3.60484 10.364
3.65489 10.3641
3.70563 10.3641
3.75708 10.3641
3.80924 10.3642
3.86213 10.3642
3.91574 10.3642
3.97011 10.3642
4.02523 10.3643
4.08111 10.3643
4.13777 10.3644
4.19522 10.3644
4.25346 10.3644
4.31251 10.3645
4.37239 10.3645
4.43309 10.3645
