W E2
0.1 0.000298061
0.101393 0.000302214
0.102806 0.000306425
0.104239 0.000310695
0.105691 0.000315024
0.107164 0.000319414
0.108657 0.000323864
0.110171 0.000328377
0.111706 0.000332952
0.113263 0.000337592
0.114841 0.000342296
0.116441 0.000347065
0.118063 0.000351901
0.119709 0.000356805
0.121377 0.000361776
0.123068 0.000366817
0.124783 0.000371928
0.126521 0.000377111
0.128284 0.000382365
0.130072 0.000387693
0.131884 0.000393095
0.133722 0.000398572
0.135585 0.000404126
0.137474 0.000409757
0.13939 0.000415467
0.141332 0.000421256
0.143301 0.000427125
0.145298 0.000433077
0.147323 0.000439111
0.149375 0.00044523
0.151457 0.000451434
0.153567 0.000457724
0.155707 0.000464102
0.157876 0.000470568
0.160076 0.000477125
0.162307 0.000483773
0.164568 0.000490514
0.166861 0.000497349
0.169186 0.000504279
0.171544 0.000511306
0.173934 0.00051843
0.176358 0.000525654
0.178815 0.000532978
0.181307 0.000540405
0.183833 0.000547935
0.186394 0.000555569
0.188992 0.000563311
0.191625 0.00057116
0.194295 0.000579118
0.197002 0.000587188
0.199747 0.000595369
0.20253 0.000603665
0.205353 0.000612077
0.208214 0.000620605
0.211115 0.000629253
0.214057 0.000638021
0.217039 0.000646911
0.220064 0.000655925
0.22313 0.000665064
0.226239 0.000674331
0.229391 0.000683727
0.232588 0.000693254
0.235828 0.000702914
0.239114 0.000712708
0.242446 0.000722639
0.245824 0.000732708
0.24925 0.000742918
0.252723 0.000753269
0.256244 0.000763765
0.259815 0.000774408
0.263435 0.000785198
0.267105 0.000796139
0.270827 0.000807232
0.274601 0.00081848
0.278427 0.000829885
0.282307 0.000841448
0.28624 0.000853173
0.290229 0.000865061
0.294273 0.000877115
0.298373 0.000889336
0.302531 0.000901728
0.306746 0.000914293
0.31102 0.000927033
0.315354 0.00093995
0.319748 0.000953047
0.324203 0.000966327
0.328721 0.000979791
0.333301 0.000993444
0.337945 0.00100729
0.342654 0.00102132
0.347428 0.00103555
0.352269 0.00104998
0.357178 0.00106461
0.362155 0.00107945
0.367201 0.00109449
0.372318 0.00110974
0.377505 0.0011252
0.382765 0.00114088
0.388099 0.00115678
0.393507 0.0011729
0.39899 0.00118924
0.404549 0.00120581
0.410186 0.00122261
0.415901 0.00123965
0.421697 0.00125692
0.427572 0.00127443
0.43353 0.00129219
0.439571 0.0013102
0.445696 0.00132845
0.451906 0.00134696
