W E1
0.1 -10003.8
0.101431 -10003.8
0.102883 -10003.8
0.104356 -10003.8
0.10585 -10003.8
0.107365 -10003.8
0.108902 -10003.8
0.110461 -10003.8
0.112042 -10003.8
0.113646 -10003.8
0.115273 -10003.8
0.116923 -10003.8
0.118597 -10003.8
0.120295 -10003.8
0.122017 -10003.8
0.123764 -10003.8
0.125535 -10003.8
0.127332 -10003.8
0.129155 -10003.8
0.131004 -10003.8
0.132879 -10003.8
0.134781 -10003.8
0.136711 -10003.8
0.138668 -10003.8
0.140653 -10003.8
0.142666 -10003.8
0.144708 -10003.8
0.14678 -10003.8
0.148881 -10003.8
0.151012 -10003.8
0.153174 -10003.8
0.155367 -10003.8
0.157591 -10003.7
0.159847 -10003.7
0.162135 -10003.7
0.164456 -10003.7
0.16681 -10003.7
0.169198 -10003.7
0.17162 -10003.7
0.174077 -10003.7
0.176569 -10003.7
0.179096 -10003.7
0.18166 -10003.7
0.18426 -10003.7
0.186898 -10003.7
0.189574 -10003.7
0.192287 -10003.7
0.19504 -10003.7
0.197832 -10003.7
0.200664 -10003.7
0.203536 -10003.7
0.20645 -10003.7
0.209405 -10003.7
0.212403 -10003.7
0.215443 -10003.7
0.218528 -10003.7
0.221656 -10003.7
0.224829 -10003.7
0.228047 -10003.7
0.231312 -10003.7
0.234623 -10003.7
0.237982 -10003.7
0.241388 -10003.7
0.244844 -10003.7
0.248349 -10003.7
0.251904 -10003.7
0.25551 -10003.7
0.259167 -10003.7
0.262877 -10003.7
0.26664 -10003.7
0.270457 -10003.7
0.274329 -10003.7
0.278256 -10003.7
0.282239 -10003.7
0.286279 -10003.7
0.290378 -10003.7
0.294534 -10003.7
0.298751 -10003.7
0.303027 -10003.7
0.307365 -10003.7
0.311765 -10003.6
0.316228 -10003.6
0.320755 -10003.6
0.325346 -10003.6
0.330003 -10003.6
0.334727 -10003.6
0.339519 -10003.6
0.344379 -10003.6
0.349309 -10003.6
0.354309 -10003.6
0.359381 -10003.6
0.364526 -10003.6
0.369744 -10003.6
0.375037 -10003.6
0.380406 -10003.6
0.385851 -10003.6
0.391375 -10003.6
0.396977 -10003.6
0.40266 -10003.6
0.408424 -10003.6
0.41427 -10003.5
0.420201 -10003.5
0.426216 -10003.5
0.432317 -10003.5
0.438506 -10003.5
0.444783 -10003.5
0.45115 -10003.5
0.457608 -10003.5
0.464159 -10003.5
0.470803 -10003.5
0.477543 -10003.5
0.484379 -10003.5
0.491313 -10003.4
0.498346 -10003.4
0.50548 -10003.4
0.512716 -10003.4
0.520055 -10003.4
0.5275 -10003.4
0.535051 -10003.4
0.54271 -10003.4
0.550479 -10003.4
0.558359 -10003.4
0.566352 -10003.3
0.574459 -10003.3
0.582683 -10003.3
0.591024 -10003.3
0.599484 -10003.3
0.608066 -10003.3
0.61677 -10003.3
0.625599 -10003.2
0.634555 -10003.2
0.643638 -10003.2
0.652852 -10003.2
0.662198 -10003.2
0.671677 -10003.2
0.681292 -10003.1
0.691045 -10003.1
0.700937 -10003.1
0.710971 -10003.1
0.721148 -10003.1
0.731472 -10003
0.741943 -10003
0.752564 -10003
0.763337 -10003
0.774264 -10003
0.785347 -10002.9
0.796589 -10002.9
0.807993 -10002.9
0.819559 -10002.9
0.831291 -10002.8
0.843191 -10002.8
0.855261 -10002.8
0.867504 -10002.7
0.879923 -10002.7
0.892519 -10002.7
0.905295 -10002.6
0.918254 -10002.6
0.931399 -10002.6
0.944732 -10002.5
0.958256 -10002.5
0.971973 -10002.5
0.985887 -10002.4
1 -10002.4
1.01431 -10002.4
1.02883 -10002.3
1.04356 -10002.3
1.0585 -10002.2
1.07365 -10002.2
1.08902 -10002.1
1.10461 -10002.1
1.12042 -10002
1.13646 -10002
1.15273 -10001.9
1.16923 -10001.9
1.18597 -10001.8
1.20295 -10001.8
1.22017 -10001.7
1.23764 -10001.7
1.25535 -10001.6
1.27332 -10001.5
1.29155 -10001.5
1.31004 -10001.4
1.32879 -10001.3
1.34781 -10001.3
1.36711 -10001.2
1.38668 -10001.1
1.40653 -10001
1.42666 -10001
1.44708 -10000.9
1.4678 -10000.8
1.48881 -10000.7
1.51012 -10000.6
1.53174 -10000.5
1.55367 -10000.4
1.57591 -10000.3
1.59847 -10000.2
1.62135 -10000.1
1.64456 -10000
1.6681 -9999.93
1.69198 -9999.82
1.7162 -9999.71
1.74077 -9999.59
1.76569 -9999.47
1.79096 -9999.35
1.8166 -9999.22
1.8426 -9999.09
1.86898 -9998.95
1.89574 -9998.81
1.92287 -9998.67
1.9504 -9998.52
1.97832 -9998.37
2.00664 -9998.22
2.03536 -9998.05
2.0645 -9997.89
2.09405 -9997.72
2.12403 -9997.54
2.15443 -9997.37
2.18528 -9997.18
2.21656 -9996.99
2.24829 -9996.79
2.28047 -9996.59
2.31312 -9996.39
2.34623 -9996.17
2.37982 -9995.95
2.41388 -9995.73
2.44844 -9995.5
2.48349 -9995.26
2.51904 -9995.01
2.5551 -9994.76
2.59167 -9994.5
2.62877 -9994.23
2.6664 -9993.96
2.70457 -9993.67
2.74329 -9993.38
2.78256 -9993.08
2.82239 -9992.77
2.86279 -9992.46
2.90378 -9992.13
2.94534 -9991.79
2.98751 -9991.45
3.03027 -9991.09
3.07365 -9990.73
3.11765 -9990.35
3.16228 -9989.97
3.20755 -9989.57
3.25346 -9989.16
3.30003 -9988.74
3.34727 -9988.3
3.39519 -9987.86
3.44379 -9987.4
3.49309 -9986.93
3.54309 -9986.44
3.59381 -9985.94
3.64526 -9985.43
3.69744 -9984.9
3.75037 -9984.36
3.80406 -9983.8
3.85851 -9983.23
3.91375 -9982.63
3.96977 -9982.03
4.0266 -9981.4
4.08424 -9980.76
4.1427 -9980.09
4.20201 -9979.41
4.26216 -9978.71
4.32317 -9977.99
4.38506 -9977.25
4.44783 -9976.48
4.5115 -9975.7
4.57608 -9974.89
4.64159 -9974.06
4.70803 -9973.21
4.77543 -9972.33
4.84379 -9971.42
4.91313 -9970.49
4.98346 -9969.54
5.0548 -9968.55
5.12716 -9967.54
5.20055 -9966.5
5.275 -9965.43
5.35051 -9964.33
5.4271 -9963.19
5.50479 -9962.03
5.58359 -9960.83
5.66352 -9959.6
5.74459 -9958.33
5.82683 -9957.02
5.91024 -9955.68
5.99484 -9954.3
6.08066 -9952.88
6.1677 -9951.42
6.25599 -9949.92
6.34555 -9948.38
6.43638 -9946.79
6.52852 -9945.15
6.62198 -9943.47
6.71677 -9941.75
6.81292 -9939.97
6.91045 -9938.14
7.00937 -9936.26
7.10971 -9934.33
7.21148 -9932.34
7.31472 -9930.29
7.41943 -9928.19
7.52564 -9926.03
7.63337 -9923.8
7.74264 -9921.52
7.85347 -9919.16
7.96589 -9916.74
8.07993 -9914.26
8.19559 -9911.7
8.31291 -9909.07
8.43191 -9906.36
8.55261 -9903.58
8.67504 -9900.72
8.79923 -9897.78
8.92519 -9894.76
9.05295 -9891.65
9.18254 -9888.46
9.31399 -9885.17
9.44732 -9881.79
9.58256 -9878.32
9.71973 -9874.75
9.85887 -9871.08
10 -9867.3
10.1431 -9863.42
10.2883 -9859.43
10.4356 -9855.33
10.585 -9851.12
10.7365 -9846.78
10.8902 -9842.33
11.0461 -9837.75
11.2042 -9833.05
11.3646 -9828.21
11.5273 -9823.24
11.6923 -9818.13
11.8597 -9812.88
12.0295 -9807.48
12.2017 -9801.94
12.3764 -9796.24
12.5535 -9790.38
12.7332 -9784.36
12.9155 -9778.18
13.1004 -9771.82
13.2879 -9765.29
13.4781 -9758.59
13.6711 -9751.69
13.8668 -9744.61
14.0653 -9737.34
14.2666 -9729.87
14.4708 -9722.19
14.678 -9714.31
14.8881 -9706.21
15.1012 -9697.89
15.3174 -9689.35
15.5367 -9680.57
15.7591 -9671.56
15.9847 -9662.31
16.2135 -9652.81
16.4456 -9643.06
16.681 -9633.04
16.9198 -9622.76
17.162 -9612.2
17.4077 -9601.37
17.6569 -9590.24
17.9096 -9578.83
18.166 -9567.11
18.426 -9555.08
18.6898 -9542.74
18.9574 -9530.08
19.2287 -9517.08
19.504 -9503.75
19.7832 -9490.07
20.0664 -9476.04
20.3536 -9461.65
20.645 -9446.89
20.9405 -9431.75
21.2403 -9416.22
21.5443 -9400.31
21.8528 -9383.98
22.1656 -9367.25
22.4829 -9350.1
22.8047 -9332.51
23.1312 -9314.49
23.4623 -9296.02
23.7982 -9277.1
24.1388 -9257.71
24.4844 -9237.85
24.8349 -9217.5
25.1904 -9196.66
25.551 -9175.31
25.9167 -9153.46
26.2877 -9131.08
26.664 -9108.17
27.0457 -9084.72
27.4329 -9060.72
27.8256 -9036.16
28.2239 -9011.03
28.6279 -8985.32
29.0378 -8959.02
29.4534 -8932.13
29.8751 -8904.62
30.3027 -8876.51
30.7365 -8847.76
31.1765 -8818.38
31.6228 -8788.36
32.0755 -8757.68
32.5346 -8726.34
33.0003 -8694.33
33.4727 -8661.64
33.9519 -8628.27
34.4379 -8594.2
34.9309 -8559.43
35.4309 -8523.95
35.9381 -8487.75
36.4526 -8450.83
36.9744 -8413.18
37.5037 -8374.79
38.0406 -8335.66
38.5851 -8295.78
39.1375 -8255.14
39.6977 -8213.75
40.266 -8171.6
40.8424 -8128.68
41.427 -8085
42.0201 -8040.54
42.6216 -7995.3
43.2317 -7949.29
43.8506 -7902.51
44.4783 -7854.95
45.115 -7806.61
45.7608 -7757.49
46.4159 -7707.6
47.0803 -7656.94
47.7543 -7605.51
48.4379 -7553.31
49.1313 -7500.35
49.8346 -7446.63
50.548 -7392.17
51.2716 -7336.96
52.0055 -7281.01
52.75 -7224.33
53.5051 -7166.94
54.271 -7108.83
55.0479 -7050.03
55.8359 -6990.54
56.6352 -6930.37
57.4459 -6869.54
58.2683 -6808.06
59.1024 -6745.95
59.9484 -6683.23
60.8066 -6619.9
61.677 -6555.99
62.5599 -6491.51
63.4555 -6426.48
64.3638 -6360.93
65.2852 -6294.87
66.2198 -6228.33
67.1677 -6161.32
68.1292 -6093.87
69.1045 -6026
70.0937 -5957.73
71.0971 -5889.1
72.1148 -5820.12
73.1472 -5750.82
74.1943 -5681.23
75.2564 -5611.37
76.3337 -5541.27
77.4264 -5470.95
78.5347 -5400.45
79.6589 -5329.79
80.7993 -5259.01
81.9559 -5188.12
83.1291 -5117.15
84.3191 -5046.14
85.5261 -4975.12
86.7504 -4904.11
87.9923 -4833.14
89.2519 -4762.24
90.5295 -4691.44
91.8254 -4620.77
93.1399 -4550.25
94.4732 -4479.91
95.8256 -4409.78
97.1973 -4339.9
98.5887 -4270.27
100 -4200.94
101.431 -4131.93
102.883 -4063.25
104.356 -3994.95
105.85 -3927.03
107.365 -3859.54
108.902 -3792.48
110.461 -3725.88
112.042 -3659.77
113.646 -3594.16
115.273 -3529.08
116.923 -3464.54
118.597 -3400.56
120.295 -3337.17
122.017 -3274.38
123.764 -3212.2
125.535 -3150.65
127.332 -3089.75
129.155 -3029.51
131.004 -2969.95
132.879 -2911.07
134.781 -2852.88
136.711 -2795.41
138.668 -2738.65
140.653 -2682.63
142.666 -2627.34
144.708 -2572.79
146.78 -2518.99
148.881 -2465.95
151.012 -2413.66
153.174 -2362.15
155.367 -2311.4
157.591 -2261.43
159.847 -2212.23
162.135 -2163.8
164.456 -2116.15
166.81 -2069.28
169.198 -2023.19
171.62 -1977.87
174.077 -1933.33
176.569 -1889.55
179.096 -1846.55
181.66 -1804.32
184.26 -1762.84
186.898 -1722.12
189.574 -1682.16
192.287 -1642.95
195.04 -1604.48
197.832 -1566.74
200.664 -1529.74
203.536 -1493.46
206.45 -1457.91
209.405 -1423.06
212.403 -1388.91
215.443 -1355.46
218.528 -1322.7
221.656 -1290.61
224.829 -1259.2
228.047 -1228.45
231.312 -1198.35
234.623 -1168.9
237.982 -1140.09
241.388 -1111.9
244.844 -1084.33
248.349 -1057.37
251.904 -1031
255.51 -1005.23
259.167 -980.033
262.877 -955.409
266.64 -931.346
270.457 -907.835
274.329 -884.865
278.256 -862.427
282.239 -840.512
286.279 -819.11
290.378 -798.212
294.534 -777.808
298.751 -757.889
303.027 -738.445
307.365 -719.468
311.765 -700.948
316.228 -682.875
320.755 -665.242
325.346 -648.039
330.003 -631.256
334.727 -614.887
339.519 -598.921
344.379 -583.35
349.309 -568.165
354.309 -553.36
359.381 -538.924
364.526 -524.85
369.744 -511.131
375.037 -497.757
380.406 -484.722
385.851 -472.018
391.375 -459.637
396.977 -447.572
402.66 -435.816
408.424 -424.361
414.27 -413.201
420.201 -402.328
426.216 -391.736
432.317 -381.418
438.506 -371.368
444.783 -361.579
451.15 -352.044
457.608 -342.759
464.159 -333.717
470.803 -324.911
477.543 -316.336
484.379 -307.987
491.313 -299.857
498.346 -291.942
505.48 -284.236
512.716 -276.734
520.055 -269.431
527.5 -262.321
535.051 -255.4
542.71 -248.663
550.479 -242.106
558.359 -235.723
566.352 -229.511
574.459 -223.465
582.683 -217.58
591.024 -211.854
599.484 -206.28
608.066 -200.857
616.77 -195.578
625.599 -190.442
634.555 -185.444
643.638 -180.581
652.852 -175.848
662.198 -171.243
671.677 -166.763
681.292 -162.403
691.045 -158.161
700.937 -154.034
710.971 -150.018
721.148 -146.111
731.472 -142.309
741.943 -138.611
752.564 -135.012
763.337 -131.511
774.264 -128.105
785.347 -124.791
796.589 -121.567
807.993 -118.431
819.559 -115.379
831.291 -112.41
843.191 -109.522
855.261 -106.712
867.504 -103.977
879.923 -101.317
892.519 -98.7295
905.295 -96.2115
918.254 -93.7617
931.399 -91.3781
944.732 -89.059
958.256 -86.8026
971.973 -84.607
985.887 -82.4707
1000 -80.392
1014.31 -78.3693
1028.83 -76.4011
1043.56 -74.4858
1058.5 -72.6219
1073.65 -70.808
1089.02 -69.0428
1104.61 -67.3248
1120.42 -65.6527
1136.46 -64.0252
1152.73 -62.4411
1169.23 -60.8992
1185.97 -59.3982
1202.95 -57.937
1220.17 -56.5144
1237.64 -55.1295
1255.35 -53.781
1273.32 -52.4679
1291.55 -51.1893
1310.04 -49.9442
1328.79 -48.7315
