W E1
0.1 -1.21499e+09
0.101453 -1.18047e+09
0.102927 -1.14693e+09
0.104423 -1.11434e+09
0.105941 -1.08268e+09
0.10748 -1.05193e+09
0.109042 -1.02204e+09
0.110627 -9.93011e+08
0.112234 -9.64803e+08
0.113865 -9.37398e+08
0.11552 -9.10773e+08
0.117199 -8.84904e+08
0.118902 -8.59772e+08
0.12063 -8.35354e+08
0.122382 -8.11631e+08
0.124161 -7.88582e+08
0.125965 -7.66189e+08
0.127796 -7.44433e+08
0.129653 -7.23296e+08
0.131537 -7.0276e+08
0.133448 -6.82808e+08
0.135388 -6.63424e+08
0.137355 -6.4459e+08
0.139351 -6.26293e+08
0.141376 -6.08516e+08
0.143431 -5.91244e+08
0.145515 -5.74464e+08
0.147629 -5.58161e+08
0.149775 -5.42322e+08
0.151951 -5.26933e+08
0.154159 -5.11982e+08
0.1564 -4.97456e+08
0.158672 -4.83344e+08
0.160978 -4.69632e+08
0.163317 -4.56311e+08
0.165691 -4.43368e+08
0.168099 -4.30794e+08
0.170541 -4.18577e+08
0.17302 -4.06708e+08
0.175534 -3.95177e+08
0.178085 -3.83973e+08
0.180673 -3.73088e+08
0.183298 -3.62512e+08
0.185962 -3.52238e+08
0.188664 -3.42255e+08
0.191406 -3.32557e+08
0.194187 -3.23134e+08
0.197009 -3.1398e+08
0.199872 -3.05085e+08
0.202776 -2.96444e+08
0.205723 -2.88049e+08
0.208713 -2.79892e+08
0.211746 -2.71967e+08
0.214823 -2.64268e+08
0.217944 -2.56788e+08
0.221112 -2.4952e+08
0.224325 -2.42459e+08
0.227585 -2.35599e+08
0.230892 -2.28934e+08
0.234247 -2.22459e+08
0.237651 -2.16167e+08
0.241105 -2.10055e+08
0.244608 -2.04117e+08
0.248163 -1.98347e+08
0.251769 -1.92742e+08
0.255428 -1.87296e+08
0.25914 -1.82005e+08
0.262905 -1.76864e+08
0.266726 -1.7187e+08
0.270602 -1.67017e+08
0.274534 -1.62303e+08
0.278524 -1.57723e+08
0.282571 -1.53273e+08
0.286677 -1.48949e+08
0.290843 -1.44749e+08
0.29507 -1.40668e+08
0.299358 -1.36703e+08
0.303708 -1.3285e+08
0.308121 -1.29108e+08
0.312599 -1.25472e+08
0.317142 -1.21939e+08
0.32175 -1.18507e+08
0.326426 -1.15172e+08
0.331169 -1.11932e+08
0.335982 -1.08785e+08
0.340864 -1.05726e+08
0.345818 -1.02755e+08
0.350843 -9.98686e+07
0.355941 -9.7064e+07
0.361114 -9.43392e+07
0.366361 -9.16919e+07
0.371685 -8.91199e+07
0.377087 -8.6621e+07
0.382566 -8.41932e+07
0.388126 -8.18345e+07
0.393766 -7.95428e+07
0.399488 -7.73163e+07
0.405293 -7.51531e+07
0.411183 -7.30515e+07
0.417158 -7.10096e+07
0.42322 -6.90258e+07
0.42937 -6.70984e+07
0.43561 -6.52258e+07
0.44194 -6.34065e+07
0.448362 -6.16389e+07
0.454878 -5.99216e+07
0.461488 -5.82531e+07
0.468194 -5.66321e+07
0.474998 -5.50571e+07
0.481901 -5.3527e+07
0.488903 -5.20404e+07
0.496008 -5.0596e+07
0.503216 -4.91927e+07
0.510529 -4.78293e+07
0.517947 -4.65047e+07
0.525474 -4.52178e+07
0.53311 -4.39674e+07
0.540857 -4.27526e+07
0.548717 -4.15724e+07
0.556691 -4.04257e+07
0.564781 -3.93116e+07
0.572988 -3.82292e+07
0.581314 -3.71776e+07
0.589762 -3.61558e+07
0.598332 -3.51631e+07
0.607027 -3.41987e+07
0.615848 -3.32616e+07
0.624798 -3.23512e+07
0.633877 -3.14667e+07
0.643088 -3.06073e+07
0.652434 -2.97724e+07
0.661915 -2.89612e+07
0.671533 -2.8173e+07
0.681292 -2.74073e+07
0.691192 -2.66633e+07
0.701237 -2.59405e+07
0.711427 -2.52382e+07
0.721765 -2.45558e+07
0.732254 -2.38929e+07
0.742895 -2.32488e+07
0.75369 -2.2623e+07
0.764643 -2.2015e+07
0.775755 -2.14242e+07
0.787028 -2.08503e+07
0.798465 -2.02926e+07
0.810068 -1.97508e+07
0.821839 -1.92244e+07
0.833782 -1.87129e+07
0.845899 -1.82159e+07
0.858191 -1.77331e+07
0.870662 -1.7264e+07
0.883314 -1.68082e+07
0.896151 -1.63653e+07
0.909173 -1.5935e+07
0.922385 -1.5517e+07
0.935789 -1.51108e+07
0.949388 -1.47161e+07
0.963184 -1.43326e+07
0.977181 -1.396e+07
0.991381 -1.35979e+07
1.00579 -1.32462e+07
1.0204 -1.29044e+07
1.03523 -1.25723e+07
1.05028 -1.22496e+07
1.06554 -1.1936e+07
1.08102 -1.16314e+07
1.09673 -1.13354e+07
1.11267 -1.10477e+07
1.12884 -1.07682e+07
1.14524 -1.04966e+07
1.16188 -1.02327e+07
1.17877 -9.97628e+06
1.1959 -9.72709e+06
1.21328 -9.48495e+06
1.23091 -9.24966e+06
1.2488 -9.02101e+06
1.26694 -8.79882e+06
1.28535 -8.5829e+06
1.30403 -8.37308e+06
1.32298 -8.16917e+06
1.34221 -7.97102e+06
1.36171 -7.77845e+06
1.3815 -7.5913e+06
1.40158 -7.40942e+06
1.42194 -7.23265e+06
1.44261 -7.06086e+06
1.46357 -6.89389e+06
1.48484 -6.73161e+06
1.50642 -6.57389e+06
1.52831 -6.42058e+06
1.55052 -6.27157e+06
1.57305 -6.12673e+06
1.59591 -5.98594e+06
1.6191 -5.84909e+06
1.64263 -5.71605e+06
1.6665 -5.58672e+06
1.69071 -5.461e+06
1.71528 -5.33877e+06
1.74021 -5.21993e+06
1.7655 -5.1044e+06
1.79115 -4.99206e+06
1.81718 -4.88283e+06
1.84359 -4.77662e+06
1.87038 -4.67334e+06
1.89756 -4.5729e+06
1.92513 -4.47523e+06
1.95311 -4.38023e+06
1.98149 -4.28783e+06
2.01029 -4.19796e+06
2.0395 -4.11054e+06
2.06914 -4.0255e+06
2.09921 -3.94276e+06
2.12971 -3.86227e+06
2.16066 -3.78394e+06
2.19206 -3.70773e+06
2.22391 -3.63356e+06
2.25623 -3.56137e+06
2.28902 -3.49112e+06
2.32228 -3.42272e+06
2.35603 -3.35615e+06
2.39027 -3.29132e+06
2.425 -3.2282e+06
2.46024 -3.16674e+06
2.49599 -3.10688e+06
2.53226 -3.04857e+06
2.56906 -2.99176e+06
