Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),"Coil Signal"" (mV)",Range (mV),M. Quad. Signal (emu),M. Raw' (emu),"M. Raw"" (emu)",Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
3772703570,50.18635178,0.015482487,,,2,,,,10.27199997,,,,,,,50.18635178,50.18635178,0.015482487,0.015482487,,,44.81351852,,,,40,49.88381577,0,0,0,0.041046143,47.89833832,,,,,,,,,,,,,,,,
3772703580,50.18114853,0.0108746,-0.000557358,3.89E-06,1,0.999253354,40.02988815,2.000622302,10.27000044,-0.006010902,-0.001298778,0.25,-1.78E-05,-0.000556732,-2.19E-05,50.18114853,50.18114853,0.006266713,0.015482487,43.40539493,17.55114193,44.79887009,0,0,0,40,49.88636017,1,4,1,1.963043213,50.34213257,,,,,,,,,,,,,,,,
3772703589,50.18171501,11.6642096,-0.000560324,3.49E-06,1,0.999253354,40.02988815,2.000610718,10.25999989,-0.006042781,-0.001306111,0.25,-1.79E-05,-0.000559695,-2.21E-05,50.18173218,50.18173218,4.835327625,18.49309158,43.94862675,17.54099906,44.79509735,0,0,0,40,49.88525391,1,6,1,1.959991455,50.34213257,,,,,,,,,,,,,,,,
3772703589,50.18167305,24.80128098,-0.000465068,8.38E-06,1,0.999253354,40.02988815,2.000603103,10.25999989,-0.005020597,-0.001056095,0.25,-1.23E-05,-0.000464565,-1.57E-05,50.18169785,50.18169785,18.49309158,31.10947037,43.70241377,17.54113602,44.79709625,0,0,0,40,49.88519287,1,6,1,1.966247559,50.83089066,,,,,,,,,,,,,,,,
3772703590,50.18164253,42.51167297,-0.00029354,7.83E-06,1,0.999253354,40.02988815,2.000603103,10.27000044,-0.00316957,-0.000662826,0.25,-7.41E-06,-0.000293225,-9.58E-06,50.18164825,50.18164825,31.10947037,53.91387558,43.6539528,17.54113602,44.80286789,0,0,0,40,49.88504028,1,6,1,1.96105957,50.83089066,,,,,,,,,,,,,,,,
3772703591,50.18151665,65.22162056,-0.000127019,7.52E-06,1,0.999253354,40.02988815,2.00042828,10.25999989,-0.001376163,-0.000260788,0.25,-8.09E-07,-0.000126901,-1.75E-06,50.18163681,50.18163681,53.91387558,76.52936554,44.11902177,17.53892304,44.80353165,0,0,0,40,49.8848381,1,6,1,1.961669922,50.83089066,,,,,,,,,,,,,,,,
3772703592,50.18142128,89.33928299,3.37E-05,7.61E-06,1,0.999253354,40.02988815,2.000733363,10.25999989,0.000357442,0.000111623,0.25,4.12E-06,3.36E-05,4.37E-06,50.18139648,50.18139648,76.52936554,102.1492004,43.57500832,17.5473862,44.80109024,0,0,0,40,49.8843956,1,6,1,1.966247559,51.31964874,,,,,,,,,,,,,,,,
3772703593,50.18121338,113.6573792,0.000187542,7.11E-06,1,0.999253354,40.02988815,2.000619312,10.25999989,0.002013174,0.00048841,0.25,1.07E-05,0.000187297,1.21E-05,50.18144608,50.18144608,102.1492004,125.1655579,44.45668529,17.54711209,44.796875,0,0,0,40,49.88423157,1,6,1,1.967163086,51.31964874,,,,,,,,,,,,,,,,
3772703594,50.18112373,138.3832779,0.000328676,6.54E-06,1,0.999253354,40.02988815,2.000793054,10.27000044,0.003539343,0.000796588,0.25,1.33E-05,0.000328287,1.57E-05,50.18098068,50.18098068,125.1655579,151.6009979,43.54843295,17.55145542,44.79776382,0,0,0,40,49.88399124,1,6,1,1.965026855,50.83089066,,,,,,,,,,,,,,,,
3772703595,50.18115997,164.7841415,0.000459883,6.32E-06,1,0.999253354,40.02988815,2.000749006,10.27000044,0.004952759,0.001111202,0.25,1.83E-05,0.000459341,2.17E-05,50.18126678,50.18126678,151.6009979,177.9672852,43.70241377,17.5509539,44.79443359,0,0,0,40,49.88361359,1,6,1,1.955108643,52.29716492,,,,,,,,,,,,,,,,
