Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),"Coil Signal"" (mV)",Range (mV),M. Quad. Signal (emu),M. Raw' (emu),"M. Raw"" (emu)",Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
3772649310,49.53345108,1999.997681,,,2,,,,10.29200012,,,,,,,49.53345108,49.53345108,1999.997681,1999.997681,,,44.8299408,,,,40,48.67600632,0,0,0,0.036010742,41.54447937,,,,,,,,,,,,,,,,
3772649462,50.20181847,1999.970032,0.001626367,5.30E-06,1,0.999253354,40.02988815,1.975118061,10.28000005,0.017385544,0.003435467,0.25,2.31E-05,0.001624872,3.51E-05,50.20188522,50.20188522,1999.937866,2000.002197,43.58204298,17.50164298,44.87942886,0,0,0,40,49.90105057,1,4,1,1.932830811,51.31964874,,,,,,,,,,,,,,,,
3772649466,50.20000648,1999.983948,0.001628474,4.56E-06,1,0.999253354,40.02988815,1.974966021,10.28000005,0.017398682,0.003483956,0.25,2.72E-05,0.001626945,3.93E-05,50.20022202,50.20022202,1999.947021,2000.020874,43.66802211,17.5034672,44.87765503,0,0,0,40,49.89987183,6,4,1,1.934661865,51.80840683,,,,,,,,,,,,,,,,
3772649502,50.51554871,2000.011536,0.001606754,3.88E-06,1,0.999253354,40.02988815,1.975026746,10.28000005,0.017174574,0.003406476,0.25,2.39E-05,0.001605426,3.58E-05,50.50653458,50.50653458,2000.006958,2000.016113,43.84935993,17.5040974,44.90273285,0,0,0,40,50.59989548,6,4,1,1.920928955,53.27468491,,,,,,,,,,,,,,,,
3772649532,51.01409721,2000.018494,0.001582727,4.72E-06,1,0.999253354,40.02988815,1.975034587,10.28000005,0.016930316,0.003302054,0.25,1.85E-05,0.001581701,3.03E-05,51.00515747,51.00515747,2000.016113,2000.020874,43.84935993,17.50574991,45.03211594,0,0,0,40,51.17068481,2,4,1,1.922302246,52.29716492,,,,,,,,,,,,,,,,
3772649562,51.51371193,2000.006958,0.001592402,5.00E-06,1,0.999253354,40.02988815,1.975080883,10.28000005,0.017050408,0.003248612,0.25,1.17E-05,0.001591668,2.36E-05,51.50802612,51.50802612,2000.006958,2000.006958,43.78135825,17.50845568,45.18213654,0,0,0,40,51.69322968,2,4,1,1.931915283,52.78592682,,,,,,,,,,,,,,,,
3772649592,52.00636292,2000.006958,0.001566263,5.03E-06,1,0.999253354,40.02988815,1.975035286,10.28000005,0.016770529,0.003207682,0.25,1.26E-05,0.001565772,2.43E-05,51.99708176,51.99708176,2000.006958,2000.006958,43.75790939,17.50635453,45.29931259,0,0,0,40,52.20561981,2,4,1,1.923065186,53.76344299,,,,,,,,,,,,,,,,
3772649622,52.50232887,1999.983887,0.001494837,5.68E-06,1,0.999253354,40.02988815,1.975027674,10.28000005,0.016016511,0.003015976,0.25,7.80E-06,0.001494627,1.89E-05,52.49506378,52.49506378,1999.960815,2000.006958,43.73133402,17.51121812,45.45776749,0,0,0,40,52.70694351,2,4,1,1.923370361,53.27468491,,,,,,,,,,,,,,,,
3772649653,53.0103035,2000.006958,0.001454989,3.73E-06,1,0.999253354,40.02988815,1.975081706,10.28000005,0.01556966,0.003060349,0.25,1.92E-05,0.001454925,3.00E-05,53.00035095,53.00035095,2000.006958,2000.006958,43.93533907,17.50809459,45.65372467,0,0,0,40,53.2469902,2,4,1,1.935577393,54.25220108,,,,,,,,,,,,,,,,
3772649683,53.51173401,2000.006958,0.001370572,5.54E-06,1,0.999253354,40.02988815,1.975001602,10.28000005,0.014711045,0.002647631,0.25,-3.85E-06,0.001370881,6.29E-06,53.502491,53.502491,2000.006958,2000.006958,43.97129398,17.5068205,45.8090744,0,0,0,40,53.75504303,2,4,1,1.9190979,53.76344299,,,,,,,,,,,,,,,,
3772649712,54.00477982,2000.009216,0.001364904,3.83E-06,1,0.999253354,40.02988815,1.975142794,10.28000005,0.014613288,0.00285645,0.25,1.66E-05,0.001365263,2.67E-05,53.99778748,53.99778748,2000.006958,2000.011475,44.10964223,17.51163124,45.93778992,0,0,0,40,54.25400925,2,4,1,1.933288574,54.74095917,,,,,,,,,,,,,,,,
3772649744,54.51621628,1999.972351,0.001297554,6.70E-06,1,0.999253354,40.02988815,1.97489368,10.28000005,0.013921572,0.002557391,0.25,1.09E-06,0.001298201,1.06E-05,54.50564957,54.50564957,1999.947021,1999.997681,43.96191444,17.51434502,46.07449722,0,0,0,40,54.78516388,2,4,1,1.932830811,54.25220108,,,,,,,,,,,,,,,,
3772649774,55.01331711,1999.974731,0.001298913,3.49E-06,1,0.999253354,40.02988815,1.975075688,10.28000005,0.013923355,0.002648414,0.25,9.29E-06,0.001299689,1.88E-05,55.00585556,55.00585556,1999.942505,2000.006958,44.14637877,17.50982859,46.21808243,0,0,0,40,55.28418732,2,4,1,1.922454834,55.71847534,,,,,,,,,,,,,,,,
3772649803,55.5056057,1999.979248,0.001257576,3.71E-06,1,0.999253354,40.02988815,1.975078268,10.28000005,0.013486954,0.002538458,0.25,6.61E-06,0.001258525,1.58E-05,55.49760056,55.49760056,1999.956299,2000.002197,44.04242217,17.51030721,46.32993317,0,0,0,40,55.79898453,2,4,1,1.935882568,55.22971725,,,,,,,,,,,,,,,,
3772649833,56.00167465,2000.013794,0.001226613,4.96E-06,1,0.999253354,40.02988815,1.974859377,10.28000005,0.013126353,0.002634742,0.25,2.13E-05,0.001227603,3.02E-05,55.99307632,55.99307632,2000.011475,2000.016113,43.99708772,17.51307603,46.41914749,0,0,0,40,56.30117798,2,4,1,1.922454834,55.71847534,,,,,,,,,,,,,,,,
3772649864,56.5167923,1999.979248,0.001183208,3.61E-06,1,0.999253354,40.02988815,1.975066549,10.28000005,0.012688068,0.002415665,0.25,8.77E-06,0.00118442,1.74E-05,56.50595856,56.50595856,1999.956299,2000.002197,44.39337338,17.51016063,46.55074692,0,0,0,40,56.82419968,2,4,1,1.922607422,55.71847534,,,,,,,,,,,,,,,,
3772649894,57.0163784,1999.988464,0.001131595,6.02E-06,1,0.999253354,40.02988815,1.974927206,10.28000005,0.012129288,0.002344218,0.25,1.16E-05,0.001132888,1.98E-05,57.00780106,57.00780106,1999.960815,2000.016113,43.7883929,17.5101178,46.63818741,0,0,0,40,57.3254509,2,4,1,1.923675537,56.20723343,,,,,,,,,,,,,,,,
3772649926,57.53922272,1999.956299,,,2,,,,10.28200004,,,,,,,57.53922272,57.53922272,1999.956299,1999.956299,,,46.66370773,,,,40,57.85486984,0,0,0,0.042877197,53.27468491,,,,,,,,,,,,,,,,
