k,e1,e2
50.14,-4646.59527,10842.120098
50.62,-4520.78515,10731.947994908733
51.1,-5003.06377,11413.485433862232
51.59,-7352.34767,10404.319759716223
52.07,-9118.06085,6850.524107375456
52.55,-9089.7866,7050.041246575071
53.03,-9934.59137,6001.832329439185
53.51,-10653.7589,5296.803221814241
54.0,-10668.2817,7685.04945584
54.48,-9063.49049,10675.051551333334
54.96,-9435.65092,9441.600261021835
55.44,-10222.0552,5655.4382024004335
55.93,-9950.16407,4263.992751287681
56.41,-9650.51939,4654.399386720795
56.89,-9467.78176,4639.195300202496
57.37,-9384.62384,4012.8147454404743
57.85,-9207.55395,3966.2340302492653
58.34,-8816.21414,5063.177086316764
58.82,-8060.87338,6901.167482266576
59.3,-7425.3198,8220.18669927555
59.78,-7782.57807,7708.770011860823
60.26,-7751.65943,7813.500874250913
60.75,-6642.91849,9343.878562390122
61.23,-3986.14838,11357.793189488813
61.71,-4055.804,11243.17525201102
62.19,-6874.42738,8381.246275241036
62.68,-7231.65908,7486.597415287812
63.16,-6738.94104,7839.53057011273
63.64,-5900.97888,8595.203791971087
64.12,-5575.85353,8813.645017116032
64.6,-5423.7938,9056.701530845821
65.09,-4263.96321,10041.36069149178
65.57,-3172.45217,10474.678621668447
66.05,-3870.15844,9936.696394301287
66.53,-6228.78031,7286.348473837366
67.01,-6651.85053,6204.592625811073
67.5,-6483.97974,6273.197807957926
67.98,-6028.45,7028.124287769344
68.46,-6035.65641,7201.711635855684
68.94,-6536.28186,6547.324465386133
69.42,-6613.455,6279.532082418324
69.91,-5986.0706,7023.434166978115
70.39,-4836.88504,8244.420503381161
70.87,-5433.12504,7668.149549646959
71.35,-6375.1987,6491.552281777155
71.84,-6567.09719,6096.717470304565
72.32,-6166.7861,6534.902802080753
72.8,-5666.04569,7009.241984932967
73.28,-5735.46511,6808.327776829694
73.76,-5745.49434,6797.482552052602
74.25,-5212.69614,7460.327270371447
74.73,-4494.60169,8118.189802917167
75.21,-5079.30274,7500.260790426805
75.69,-5681.85024,6680.119226248117
76.17,-5731.4599,6499.400965548117
76.66,-5310.75714,6943.189808672581
77.14,-4781.56616,7451.111897906145
77.62,-4747.33411,7377.625831922185
78.1,-4736.58313,7217.696072255059
78.59,-4264.42324,7453.139545894389
79.07,-3378.65153,7974.299242246111
79.55,-3216.90061,8003.571139967317
80.03,-3943.25603,7407.119286229164
80.51,-3973.85368,7340.676521192895
81.0,-3608.28608,7588.425282335801
81.48,-3302.40249,7775.969690044181
81.96,-3629.86886,7576.9291069692545
82.44,-4219.85365,7200.74093385638
82.92,-4606.04958,6949.844779122045
83.41,-4572.61298,7062.618886368541
83.89,-4310.01546,7336.453838045059
84.37,-4323.74155,7256.2374535545805
84.85,-4449.91273,7011.397397013554
85.33,-4377.86368,6941.98815056135
85.82,-4098.05938,7103.870020722443
86.3,-3878.67781,7274.1347901367335
86.78,-4229.28991,6982.866259617424
87.26,-5030.71967,6012.506737880357
87.75,-5609.29745,4885.649327941653
88.23,-5881.84254,4028.2902613482943
88.71,-5952.15497,3567.642795073836
89.19,-5857.48368,3677.1807405816794
89.67,-5533.58197,4450.262019185904
90.16,-4748.59868,5744.267433444988
90.64,-3393.25549,7100.773432140336
91.12,-2798.92123,7482.11932594381
91.6,-3287.09887,7124.953940550218
92.08,-3616.89762,6728.528200881841
92.57,-3450.93685,6713.558750307876
93.05,-3465.30768,6623.449999131651
93.53,-3641.06572,6455.069222794826
94.01,-3836.76542,6282.138243793213
94.49,-3910.87802,6216.150974967934
94.98,-3828.29899,6252.734229982312
95.46,-3791.06248,6204.708497909911
95.94,-3817.58811,6091.585893347508
96.42,-3793.87393,6011.158197687617
96.91,-3670.23211,6044.288416315758
97.39,-3607.3612,6056.039207043023
97.87,-3747.49946,5907.271681506897
98.35,-3948.38984,5705.766897528826
98.83,-4038.44751,5570.847863645858
99.32,-3999.26986,5550.853262305679
99.8,-3943.36681,5519.384455866934
100.28,-3935.75841,5450.796961067013
100.76,-3908.6234,5410.615686462088
101.24,-3797.82943,5452.799705022521
101.73,-3649.88161,5545.153154928929
102.21,-3597.96442,5543.837172771744
102.69,-3639.18504,5463.22360117246
103.17,-3646.8325,5387.760063887177
103.66,-3560.94832,5392.009619014086
104.14,-3484.00427,5373.3124020000005
104.62,-3510.50276,5287.1785827922
